id,drive_id,game_id,drive_number,play_number,offense,offense_conference,offense_score,defense,home,away,defense_conference,defense_score,period,clock,offense_timeouts,defense_timeouts,yard_line,yards_to_goal,down,distance,yards_gained,scoring,play_type,play_text,ppa,wallclock
401628385101854501,4016283851,401628385,1,2,Alabama,SEC,0,South Carolina,Alabama,South Carolina,SEC,0,1,"{'minutes': 14, 'seconds': 54}",3.0,3.0,25,75,1,10,3,False,Pass Reception,Jalen Milroe pass complete to Justice Haynes for 3 yds to the ALA 28,-0.2957674139440157,2024-10-12T16:08:49.000Z
401628385101857901,4016283851,401628385,1,3,Alabama,SEC,0,South Carolina,Alabama,South Carolina,SEC,0,1,"{'minutes': 14, 'seconds': 20}",3.0,3.0,28,72,2,7,4,False,Rush,Justice Haynes run for 4 yds to the ALA 32,-0.0933867271711355,2024-10-12T16:09:28.000Z
401628385101865101,4016283851,401628385,1,4,Alabama,SEC,0,South Carolina,Alabama,South Carolina,SEC,0,1,"{'minutes': 13, 'seconds': 48}",3.0,3.0,32,68,3,3,2,False,Rush,Justice Haynes run for 2 yds to the ALA 34,-0.3345261769981986,2024-10-12T16:09:34.000Z
401628385101866801,4016283851,401628385,1,5,Alabama,SEC,0,South Carolina,Alabama,South Carolina,SEC,0,1,"{'minutes': 13, 'seconds': 31}",3.0,3.0,34,66,4,1,2,False,Rush,Jalen Milroe run for 2 yds to the ALA 36 for a 1ST down,1.6542428300593404,2024-10-12T16:09:52.000Z
401628385101875001,4016283851,401628385,1,6,Alabama,SEC,0,South Carolina,Alabama,South Carolina,SEC,0,1,"{'minutes': 12, 'seconds': 49}",3.0,3.0,36,64,1,10,30,False,Pass Reception,Jalen Milroe pass complete to Germie Bernard for 30 yds to the SC 34 for a 1ST down,2.210466446861661,2024-10-12T16:10:41.000Z
401628385101878201,4016283851,401628385,1,7,Alabama,SEC,0,South Carolina,Alabama,South Carolina,SEC,0,1,"{'minutes': 12, 'seconds': 17}",3.0,3.0,66,34,1,10,30,False,Pass Reception,Jalen Milroe pass complete to Cole Adams for 30 yds to the SC 4 for a 1ST down,1.248535642199695,2024-10-12T16:11:16.000Z
401628385101879901,4016283851,401628385,1,8,Alabama,SEC,0,South Carolina,Alabama,South Carolina,SEC,0,1,"{'minutes': 12, 'seconds': 0}",3.0,3.0,96,4,1,4,3,False,Rush,Jam Miller run for 3 yds to the SC 1,-0.212161718759031,2024-10-12T16:11:48.000Z
401628385101886201,4016283851,401628385,1,9,Alabama,SEC,0,South Carolina,Alabama,South Carolina,SEC,0,1,"{'minutes': 11, 'seconds': 37}",3.0,3.0,99,1,2,1,0,False,Rush,Jam Miller run for no gain to the SC 1,-0.553645991706544,2024-10-12T16:11:53.000Z
401628385101889901,4016283851,401628385,1,10,Alabama,SEC,7,South Carolina,Alabama,South Carolina,SEC,0,1,"{'minutes': 11, 'seconds': 0}",3.0,3.0,99,1,3,1,1,True,Rushing Touchdown,Jalen Milroe 1 Yd Run (Graham Nicholson Kick),2.45399822917955,2024-10-12T16:12:33.000Z
401628385101894301,4016283852,401628385,2,2,South Carolina,SEC,0,Alabama,Alabama,South Carolina,SEC,7,1,"{'minutes': 10, 'seconds': 56}",3.0,3.0,75,75,1,10,0,False,Pass Incompletion,"LaNorris Sellers pass incomplete to Michael Smith, broken up by Justin Jefferson",-0.7029700220436519,2024-10-12T16:17:54.000Z
401628385101895401,4016283852,401628385,2,3,South Carolina,SEC,0,Alabama,Alabama,South Carolina,SEC,7,1,"{'minutes': 10, 'seconds': 45}",3.0,3.0,75,75,2,10,14,False,Pass Reception,LaNorris Sellers pass complete to Raheim Sanders for 14 yds to the SC 39 for a 1ST down,1.9257091053001074,2024-10-12T16:18:13.000Z
401628385101898001,4016283852,401628385,2,4,South Carolina,SEC,0,Alabama,Alabama,South Carolina,SEC,7,1,"{'minutes': 10, 'seconds': 19}",3.0,3.0,61,61,1,10,4,False,Rush,Raheim Sanders run for 4 yds to the SC 43,-0.1670469651624733,2024-10-12T16:18:49.000Z
401628385101905701,4016283852,401628385,2,5,South Carolina,SEC,0,Alabama,Alabama,South Carolina,SEC,7,1,"{'minutes': 9, 'seconds': 42}",3.0,3.0,57,57,2,6,4,False,Rush,LaNorris Sellers run for 4 yds to the SC 47,-0.164962330025972,2024-10-12T16:19:29.000Z
401628385101909401,4016283852,401628385,2,6,South Carolina,SEC,0,Alabama,Alabama,South Carolina,SEC,7,1,"{'minutes': 9, 'seconds': 5}",3.0,3.0,53,53,3,2,-3,False,Rush,LaNorris Sellers run for a loss of 3 yards to the SC 44,-1.467554685016772,2024-10-12T16:20:14.000Z
401628385101918701,4016283853,401628385,3,1,Alabama,SEC,7,South Carolina,Alabama,South Carolina,SEC,0,1,"{'minutes': 8, 'seconds': 12}",3.0,3.0,13,87,1,10,-1,False,Pass Reception,Jalen Milroe pass complete to Ryan Williams for a loss of 1 yard to the ALA 12,-0.4538319702869975,2024-10-12T16:24:32.000Z
401628385101926501,4016283853,401628385,3,2,Alabama,SEC,7,South Carolina,Alabama,South Carolina,SEC,0,1,"{'minutes': 7, 'seconds': 34}",3.0,3.0,12,88,2,11,2,False,Rush,Jam Miller run for 2 yds to the ALA 14,-0.09703349845160858,2024-10-12T16:25:08.000Z
401628385101934701,4016283853,401628385,3,3,Alabama,SEC,7,South Carolina,Alabama,South Carolina,SEC,0,1,"{'minutes': 6, 'seconds': 52}",3.0,3.0,14,86,3,9,0,False,Pass Incompletion,Jalen Milroe pass incomplete to Ryan Williams,-0.09281302057629047,2024-10-12T16:25:36.000Z
401628385101936201,4016283853,401628385,3,5,Alabama,SEC,7,South Carolina,Alabama,South Carolina,SEC,0,1,"{'minutes': 6, 'seconds': 37}",3.0,3.0,29,71,1,10,12,False,Pass Reception,Jalen Milroe pass complete to Germie Bernard for 12 yds to the ALA 41 for a 1ST down,1.1166045229565373,2024-10-12T16:28:10.000Z
401628385101945301,4016283853,401628385,3,7,Alabama,SEC,7,South Carolina,Alabama,South Carolina,SEC,0,1,"{'minutes': 5, 'seconds': 46}",3.0,3.0,36,64,1,15,1,False,Rush,Justice Haynes run for 1 yd to the ALA 37,-0.6317633937462147,2024-10-12T16:29:21.000Z
401628385101949101,4016283853,401628385,3,8,Alabama,SEC,7,South Carolina,Alabama,South Carolina,SEC,0,1,"{'minutes': 5, 'seconds': 8}",3.0,3.0,37,63,2,14,5,False,Pass Reception,Jalen Milroe pass complete to Josh Cuevas for 5 yds to the ALA 42,0.0393431490632947,2024-10-12T16:29:58.000Z
401628385101957301,4016283853,401628385,3,9,Alabama,SEC,7,South Carolina,Alabama,South Carolina,SEC,0,1,"{'minutes': 4, 'seconds': 26}",3.0,3.0,42,58,3,9,-9,False,Sack,Jalen Milroe sacked by Kyle Kennard for a loss of 9 yards to the ALA 33,-0.8596017419192501,2024-10-12T16:30:59.000Z
401628385101966001,4016283854,401628385,4,1,South Carolina,SEC,0,Alabama,Alabama,South Carolina,SEC,7,1,"{'minutes': 3, 'seconds': 39}",3.0,3.0,90,90,1,10,11,False,Pass Reception,LaNorris Sellers pass complete to Vandrevius Jacobs for 11 yds to the SC 21 for a 1ST down,0.46330946332004874,2024-10-12T16:35:28.000Z
401628385101969001,4016283854,401628385,4,2,South Carolina,SEC,0,Alabama,Alabama,South Carolina,SEC,7,1,"{'minutes': 3, 'seconds': 9}",3.0,3.0,79,79,1,10,2,False,Pass Reception,LaNorris Sellers pass complete to Joshua Simon for 2 yds to the SC 23,-0.3794776766448038,2024-10-12T16:36:01.000Z
401628385101976401,4016283854,401628385,4,3,South Carolina,SEC,0,Alabama,Alabama,South Carolina,SEC,7,1,"{'minutes': 2, 'seconds': 35}",3.0,3.0,77,77,2,8,10,False,Rush,Gage Larvadain run for 10 yds to the SC 33 for a 1ST down,1.2809557973208108,2024-10-12T16:36:19.000Z
