school,OFF_ALL_raw,OFF_ALL_adj,DEF_ALL_raw,DEF_ALL_adj,OFF_PASS_raw,OFF_PASS_adj,DEF_PASS_raw,DEF_PASS_adj,OFF_RUSH_raw,OFF_RUSH_adj,DEF_RUSH_raw,DEF_RUSH_adj
Air Force,0.07816230005272433,0.10151205652523718,0.2565280467282661,0.20515933019564403,-0.04627542402010966,0.17055929965770683,0.41282235305509624,0.2844309262250735,0.1470523789650161,0.13536229449593187,0.21952644638638408,0.18118844432308112
Akron,-0.016446492477803446,0.07674967399806969,0.30183997992438016,0.24119527815656783,-0.011315154808106971,0.13263509155440031,0.42904183237229804,0.3125061556384378,0.1174390610212487,0.14464677131800005,0.2549593092729303,0.1928991294397539
Alabama,0.3689178206495594,0.2902709693040443,0.07504831828437461,0.11402422117617377,0.4951730204068097,0.3391978601746593,0.16301090713662264,0.20369565997338257,0.2999790070804604,0.2421677251703877,0.026933101359105514,0.09278993973821971
App State,0.09160961835649178,0.12503940272989705,0.3903260493283993,0.2800417732714503,0.10526683423375427,0.18234478836493745,0.47001418338553086,0.31896218211660626,0.17554710426660874,0.16648177898049718,0.37745169176395704,0.24315574124876926
Arizona,0.14628414763886322,0.17622562985783133,0.18463885284879555,0.15811499679537533,0.18364010089758817,0.22895042796731035,0.20884113909756802,0.21676811064667334,0.11235932803587946,0.1436953433693774,0.19932294604445444,0.16171635929416397
Arizona State,0.2935993847282609,0.24065006253102722,0.07532918596959895,0.12116366384591021,0.2889815598266938,0.2610589577173354,0.1857077700230389,0.21844703302501864,0.30045857728467884,0.22408892283118542,0.05627316169180104,0.10870589897671382
Arkansas,0.15629646533703648,0.17396514272188957,0.08601928879351592,0.12371804098787147,0.16228403625017485,0.21045959093520109,0.17583034047165172,0.21229618646094722,0.18442650821768955,0.1818294540129352,0.015901888913906943,0.09178908390333694
Arkansas State,0.08199271652563365,0.12632588665476563,0.3343610841906795,0.2543195903206247,0.27340718945043,0.2549570010457957,0.45667954985877884,0.3175721997385665,-0.015539384068592328,0.08573122328110663,0.26706312506289187,0.2042964885338308
Army,0.4391716101320759,0.30531806384683347,0.06526168930817446,0.14204433805554648,0.4757840353611142,0.27130260367994785,0.04318541002780983,0.17585745113168638,0.45039193027342606,0.3154512921065679,0.09478290224793931,0.13738318264225982
Auburn,0.18162503869875737,0.18029022832449357,0.164537149252923,0.1630820288619604,0.2477279138598126,0.24017313180975824,0.2330078074883232,0.23126738836742133,0.1884400932710813,0.1744968289364048,0.1019691339688504,0.13702742638462306
Ball State,0.09209434444502773,0.11943855589680377,0.5171212022143509,0.35325545763292043,0.08289801083399753,0.17264910040277248,0.6716097678629646,0.4020738815261503,0.13044449286408766,0.12843136769928282,0.3969041875227658,0.2629980220011089
Baylor,0.08148954478131294,0.15981310512949298,0.14540059931889815,0.15963536810344794,0.2635601499179079,0.2760256373552015,0.21242597357757428,0.22512153684157205,0.04023182111706496,0.11651085046281301,0.12957280697056514,0.14578103926162245
Boise State,0.43543173600543467,0.3087575634226333,0.21582132960181966,0.19386657275755836,0.4727820666059024,0.32809926353143914,0.29911697189865194,0.2738751692755447,0.3970819062045879,0.2669166843774529,0.14325266300566755,0.1439130470679436
Boston College,0.12492940777691132,0.14294053827576544,0.13156926035064756,0.15835436154294558,0.37178817966260996,0.27508067035091227,0.23424104324753806,0.2427404784646814,0.04126075903258966,0.11013040298154175,0.015809214771006552,0.09554276960616342
Bowling Green,0.14456196062055757,0.17534695970968417,0.17582505321515204,0.1756555766700129,0.19384191347586138,0.22765862578741294,0.1665933159513853,0.21380597743354285,0.1274633032694302,0.1599213624984032,0.18760334149511584,0.16732080376135722
Buffalo,0.00035960733172593845,0.0897089768550258,0.1456974267621959,0.16950481211160984,-0.05699329053279624,0.14367162395453198,0.1552181969031798,0.20312902560848475,0.04353615832735102,0.10651346406226264,0.15303467170430624,0.15568433776042678
BYU,0.1828935882849526,0.19304508391822173,0.0390765710921518,0.09434875888562824,0.31789694640987604,0.2719859284630821,0.05150270759170948,0.14458310545818812,0.08711946868917231,0.1408097925056257,0.06251896483139392,0.11372347741662335
California,0.18494706666888874,0.19158309005594024,0.11894483301393968,0.12975521806735682,0.32260680758193777,0.2802270350936701,0.06938421256974965,0.14534406372150327,0.02762818853308319,0.10985045356025909,0.2117274905146335,0.18841026735802258
Central Michigan,0.20426641005025176,0.16792085569779933,0.26688423085821056,0.2523385436951946,0.0926706865741081,0.1721807094390528,0.34444951730287254,0.2907412656146328,0.34119447451342083,0.22457677326136158,0.23739839250850786,0.2178666768144488
Charlotte,0.1481100377385735,0.1725130707354804,0.20467498386148633,0.18428631811917998,0.15586189498643502,0.2180883065290084,0.14804904670855343,0.20520757163700978,0.18949687685432515,0.181639639799002,0.25792586515762195,0.19006762599653065
Cincinnati,0.1988902859600374,0.21541773019587962,0.18464000718720214,0.1836700201977963,0.32875209080710827,0.2946105063410881,0.22662194497471247,0.24078573570313228,0.05823420267205953,0.13221705911512235,0.2175126290679393,0.17631156674771362
Clemson,0.3331804668178258,0.24512936211063943,0.146147302631304,0.17915630563430543,0.34121008832923966,0.26098314516831705,0.08090798684876212,0.17905890244257425,0.3341691207777756,0.2395797913887446,0.22252837154791558,0.2015660689254939
Coastal Carolina,0.18026860812857598,0.1929629995104918,0.16843282005119894,0.17793353581955343,0.45188016168773415,0.3235527402390699,0.243064592193117,0.24148011131232056,0.031091952554828918,0.09724206264564529,0.23415131207561518,0.1934929999127427
Colorado,0.21761656950389782,0.2101768421269623,0.05220806294609966,0.09709267115805177,0.2281337916799916,0.23255426663544995,0.09195457791280631,0.17067716488365645,0.2512913598004211,0.20909325038412258,0.1574461501993298,0.15013336111962597
Colorado State,0.07325466898040246,0.1280952828202132,0.24144386694365405,0.2078345195893869,0.23431028143481075,0.24853087347415515,0.335007396739452,0.28264140327701803,0.08565598774004489,0.11018527548070625,0.1674487856896189,0.15465849581706895
Duke,0.10114426531731519,0.12733374347327797,0.059169349859753896,0.1111712035321325,0.23232702464006555,0.22456780791867822,0.028039673919906406,0.15481130969545165,-0.04692963684575906,0.06661326948739699,0.10462418764397899,0.12392284616184107
East Carolina,0.034524312827093374,0.09501035080366295,0.157368491405079,0.17954808444845288,0.0600538576279987,0.15562583151873283,0.2997000919432434,0.28016865098135335,0.11695038661822407,0.1511517662653049,0.05919595582576103,0.10455217908655523
Eastern Michigan,0.07000590222540429,0.10355024303064285,0.3169785140840111,0.258578096036136,0.08862753183781764,0.1833871786478138,0.5140305667537368,0.3383936434853043,0.10159063046471574,0.10014120035019423,0.21076538486072843,0.19613257198722367
