school,rawOffAll,adjOffAll,rawDefAll,adjDefAll,rawOffPass,adjOffPass,rawDefPass,adjDefPass,rawOffRush,adjOffRush,rawDefRush,adjDefRush
Air Force,0.265,0.235,0.148,0.176,0.521,0.3,0.124,0.192,0.243,0.197,0.222,0.202
Akron,0.108,0.147,0.494,0.352,0.107,0.192,0.414,0.308,0.121,0.128,0.559,0.362
Alabama,0.35,0.307,0.104,0.131,0.53,0.401,0.159,0.204,0.159,0.162,0.04,0.078
Appalachian State,0.228,0.212,0.162,0.169,0.351,0.295,0.181,0.221,0.13,0.14,0.15,0.132
Arizona,-0.04,0.069,0.288,0.243,-0.039,0.119,0.525,0.338,0.046,0.114,0.178,0.159
Arizona State,0.319,0.273,0.147,0.149,0.33,0.29,0.144,0.19,0.314,0.245,0.157,0.147
Arkansas,0.283,0.259,0.146,0.155,0.324,0.291,0.24,0.259,0.262,0.222,0.106,0.103
Arkansas State,0.141,0.155,0.556,0.365,0.151,0.186,0.591,0.351,0.16,0.155,0.556,0.337
Army,0.276,0.229,0.206,0.213,0.633,0.302,0.259,0.265,0.254,0.227,0.152,0.153
Auburn,0.257,0.248,0.139,0.143,0.272,0.27,0.244,0.229,0.238,0.21,0.107,0.122
Ball State,0.09,0.149,0.252,0.218,0.114,0.205,0.287,0.251,0.081,0.124,0.223,0.183
Baylor,0.343,0.274,0.173,0.181,0.338,0.284,0.215,0.232,0.346,0.255,0.143,0.152
Boise State,0.19,0.2,0.178,0.178,0.34,0.312,0.235,0.225,0.047,0.086,0.165,0.175
Boston College,0.178,0.18,0.152,0.196,0.256,0.259,0.304,0.286,0.133,0.126,0.007,0.099
Bowling Green,0.015,0.095,0.171,0.161,0.02,0.148,0.025,0.155,0.046,0.105,0.253,0.2
Buffalo,0.181,0.179,0.296,0.247,0.238,0.238,0.405,0.312,0.143,0.144,0.322,0.235
BYU,0.297,0.253,0.192,0.193,0.34,0.292,0.222,0.237,0.279,0.216,0.164,0.162
California,0.189,0.199,0.218,0.194,0.135,0.212,0.235,0.235,0.264,0.198,0.211,0.175
Central Michigan,0.173,0.16,0.201,0.2,0.229,0.227,0.305,0.271,0.162,0.146,0.117,0.135
Charlotte,0.27,0.21,0.382,0.327,0.469,0.311,0.454,0.333,0.084,0.109,0.337,0.274
Cincinnati,0.375,0.299,-0.046,0.083,0.321,0.286,-0.129,0.103,0.434,0.295,0.043,0.114
Clemson,0.002,0.112,0.036,0.096,0.006,0.166,0.108,0.177,0.005,0.107,-0.048,0.051
Coastal Carolina,0.547,0.328,0.089,0.168,0.794,0.406,0.083,0.204,0.404,0.236,0.133,0.163
Colorado,0.012,0.107,0.161,0.188,0.142,0.21,0.19,0.239,-0.08,0.052,0.18,0.175
Colorado State,0.144,0.172,-0.003,0.118,0.286,0.266,0.022,0.175,0.046,0.107,-0.024,0.099
Connecticut,0.009,0.09,0.312,0.277,-0.036,0.123,0.549,0.372,0.118,0.142,0.167,0.176
Duke,0.201,0.153,0.29,0.251,0.292,0.245,0.443,0.34,0.167,0.125,0.167,0.162
East Carolina,0.217,0.214,0.265,0.234,0.237,0.264,0.313,0.284,0.198,0.169,0.219,0.183
Eastern Michigan,0.23,0.194,0.226,0.243,0.305,0.27,0.226,0.264,0.16,0.137,0.226,0.205
Florida,0.291,0.251,0.119,0.131,0.307,0.27,0.152,0.19,0.307,0.251,0.119,0.13
Florida Atlantic,0.255,0.227,0.223,0.212,0.276,0.256,0.106,0.203,0.252,0.216,0.297,0.223
Florida International,0.144,0.142,0.368,0.294,0.296,0.266,0.494,0.349,-0.034,0.039,0.258,0.213
Florida State,0.252,0.225,0.195,0.182,0.221,0.24,0.349,0.284,0.285,0.22,0.065,0.103
Fresno State,0.201,0.203,0.063,0.112,0.364,0.31,0.064,0.181,-0.02,0.07,0.111,0.104
Georgia,0.29,0.273,-0.103,0.017,0.51,0.363,-0.126,0.07,0.154,0.184,-0.06,0.049
Georgia Southern,0.117,0.148,0.302,0.252,-0.065,0.128,0.404,0.333,0.259,0.212,0.179,0.144
Georgia State,0.182,0.175,0.282,0.239,0.229,0.238,0.513,0.358,0.2,0.167,0.116,0.122
Georgia Tech,0.143,0.187,0.221,0.206,0.254,0.257,0.41,0.31,0.056,0.132,0.069,0.11
Hawai'i,0.125,0.154,0.197,0.183,0.036,0.14,0.236,0.234,0.253,0.213,0.155,0.145
Houston,0.227,0.21,0.07,0.145,0.321,0.284,0.019,0.163,0.123,0.131,0.151,0.169
Illinois,0.087,0.126,0.311,0.271,0.061,0.154,0.382,0.304,0.12,0.141,0.251,0.226
Indiana,-0.01,0.099,0.142,0.138,-0.043,0.128,0.216,0.213,0.031,0.112,0.061,0.103
Iowa,0.036,0.108,0.032,0.099,0.108,0.187,0.065,0.152,-0.033,0.055,0.001,0.09
Iowa State,0.373,0.277,0.091,0.152,0.442,0.317,0.126,0.219,0.307,0.218,0.074,0.12
Kansas,0.098,0.144,0.533,0.354,0.11,0.199,0.627,0.362,0.126,0.144,0.482,0.319
Kansas State,0.266,0.235,0.308,0.249,0.274,0.259,0.475,0.336,0.266,0.198,0.135,0.151
Kent State,0.147,0.182,0.286,0.27,0.092,0.19,0.307,0.294,0.201,0.189,0.286,0.244
Kentucky,0.262,0.243,0.137,0.16,0.251,0.269,0.354,0.293,0.27,0.207,-0.034,0.06
Liberty,0.293,0.27,0.101,0.165,0.394,0.313,0.108,0.202,0.22,0.216,0.106,0.136
Louisiana,0.302,0.233,0.188,0.189,0.277,0.247,0.154,0.225,0.324,0.234,0.197,0.156
Louisiana Monroe,0.048,0.122,0.333,0.265,0.145,0.202,0.352,0.29,-0.019,0.087,0.329,0.237
Louisiana Tech,0.123,0.167,0.196,0.208,0.282,0.262,0.242,0.243,-0.031,0.092,0.149,0.172
Louisville,0.315,0.254,0.308,0.233,0.408,0.312,0.246,0.23,0.217,0.179,0.39,0.252
LSU,0.272,0.255,0.233,0.201,0.415,0.324,0.305,0.277,0.134,0.17,0.182,0.144
Marshall,0.252,0.236,0.129,0.182,0.26,0.247,0.038,0.165,0.29,0.244,0.202,0.197
Maryland,0.186,0.189,0.201,0.206,0.253,0.249,0.3,0.283,0.087,0.128,0.09,0.124
Memphis,0.345,0.276,0.229,0.244,0.477,0.359,0.349,0.32,0.235,0.186,0.178,0.19
Miami,0.135,0.161,0.217,0.181,0.151,0.2,0.251,0.229,0.137,0.155,0.179,0.155
Miami (OH),0.142,0.169,0.25,0.209,0.15,0.224,0.248,0.243,0.115,0.124,0.262,0.19
Michigan,0.313,0.274,0.093,0.145,0.459,0.332,0.197,0.239,0.255,0.221,0.003,0.07
Michigan State,0.281,0.25,0.153,0.166,0.37,0.3,0.185,0.215,0.2,0.193,0.108,0.127
Middle Tennessee,0.063,0.132,0.244,0.197,0.157,0.227,0.297,0.247,0.02,0.092,0.265,0.201
Minnesota,0.171,0.195,0.113,0.15,0.378,0.302,0.166,0.207,0.107,0.131,0.054,0.117
Mississippi State,0.146,0.176,0.186,0.176,0.205,0.227,0.305,0.261,0.122,0.153,0.059,0.112
Missouri,0.189,0.207,0.339,0.282,0.283,0.265,0.276,0.266,0.039,0.124,0.381,0.284
