school,rawOffAll,adjOffAll,rawDefAll,adjDefAll,rawOffPass,adjOffPass,rawDefPass,adjDefPass,rawOffRush,adjOffRush,rawDefRush,adjDefRush
Navy,0.076,0.112,0.25,0.214,-0.254,0.127,0.376,0.295,0.163,0.143,0.145,0.139
NC State,0.195,0.2,0.053,0.136,0.254,0.251,0.126,0.201,0.133,0.154,-0.019,0.098
Nebraska,0.324,0.273,0.167,0.171,0.434,0.338,0.275,0.258,0.261,0.214,0.055,0.086
Nevada,0.252,0.219,0.202,0.205,0.346,0.286,0.187,0.236,0.074,0.119,0.33,0.232
New Mexico,-0.037,0.091,0.217,0.226,-0.047,0.134,0.28,0.271,-0.012,0.097,0.188,0.183
New Mexico State,0.069,0.144,0.31,0.287,0.082,0.176,0.451,0.347,0.12,0.159,0.223,0.212
North Carolina,0.302,0.246,0.189,0.208,0.242,0.217,0.275,0.273,0.372,0.29,0.166,0.173
Northern Illinois,0.163,0.191,0.321,0.277,0.115,0.218,0.229,0.258,0.189,0.18,0.45,0.301
North Texas,0.008,0.091,0.29,0.238,-0.073,0.111,0.526,0.328,0.096,0.141,0.139,0.151
Northwestern,0.162,0.17,0.291,0.255,0.193,0.211,0.208,0.242,0.152,0.163,0.362,0.264
Notre Dame,0.125,0.191,0.07,0.122,0.239,0.273,0.094,0.187,-0.014,0.085,0.062,0.093
Ohio,0.209,0.179,0.294,0.253,0.006,0.166,0.348,0.29,0.363,0.233,0.267,0.209
Ohio State,0.485,0.362,0.051,0.122,0.599,0.405,0.125,0.201,0.37,0.272,0.018,0.093
Oklahoma,0.307,0.241,0.278,0.229,0.353,0.275,0.433,0.335,0.269,0.211,0.111,0.119
Oklahoma State,0.181,0.178,0.081,0.119,0.375,0.285,0.076,0.165,0.078,0.104,0.092,0.128
Old Dominion,0.044,0.106,0.166,0.148,0.06,0.162,0.313,0.255,0.139,0.145,0.046,0.087
Ole Miss,0.436,0.347,0.327,0.239,0.468,0.344,0.3,0.247,0.428,0.323,0.344,0.251
Oregon,0.246,0.239,0.153,0.167,0.262,0.263,0.196,0.212,0.245,0.207,0.113,0.141
Oregon State,0.3,0.27,0.231,0.219,0.293,0.277,0.237,0.245,0.316,0.262,0.219,0.195
Penn State,0.176,0.213,-0.01,0.102,0.29,0.289,-0.045,0.149,0.051,0.118,0.035,0.099
Pittsburgh,0.327,0.271,0.066,0.118,0.476,0.343,0.17,0.209,0.17,0.165,-0.06,0.053
Purdue,0.19,0.198,0.035,0.118,0.326,0.297,0.058,0.175,-0.028,0.066,0.022,0.096
Rice,-0.083,0.071,0.23,0.214,-0.03,0.161,0.147,0.207,-0.108,0.045,0.34,0.249
Rutgers,0.062,0.114,0.175,0.166,0.043,0.158,0.371,0.297,0.094,0.116,0.04,0.07
San Diego State,0.103,0.129,-0.083,0.066,-0.08,0.129,0.005,0.164,0.215,0.188,-0.172,0.019
San José State,0.081,0.15,0.138,0.174,0.127,0.21,0.203,0.252,0.036,0.116,0.073,0.106
SMU,0.309,0.243,0.243,0.244,0.444,0.326,0.401,0.33,0.171,0.147,0.1,0.13
South Alabama,0.307,0.232,0.021,0.158,0.465,0.314,0.145,0.243,0.128,0.138,-0.066,0.091
South Carolina,0.099,0.154,0.149,0.158,0.192,0.228,0.118,0.182,0.022,0.102,0.194,0.176
Southern Mississippi,-0.002,0.108,0.314,0.274,0.185,0.236,0.589,0.384,-0.137,0.038,0.14,0.174
South Florida,0.105,0.16,0.352,0.272,0.1,0.2,0.387,0.291,0.116,0.151,0.33,0.249
Stanford,0.2,0.195,0.228,0.194,0.302,0.273,0.115,0.17,0.069,0.119,0.317,0.247
Syracuse,0.159,0.181,0.156,0.187,0.125,0.197,0.2,0.24,0.19,0.186,0.115,0.145
TCU,0.409,0.296,0.325,0.247,0.556,0.34,0.325,0.265,0.314,0.239,0.325,0.242
Temple,0.064,0.114,0.311,0.256,0.066,0.166,0.26,0.247,0.092,0.119,0.359,0.267
Tennessee,0.287,0.256,0.203,0.183,0.316,0.292,0.238,0.24,0.286,0.212,0.18,0.153
Texas,0.307,0.261,0.304,0.239,0.418,0.317,0.362,0.289,0.227,0.192,0.252,0.195
Texas A&M,0.183,0.173,0.022,0.088,0.18,0.204,0.047,0.143,0.208,0.169,-0.007,0.071
Texas State,0.139,0.157,0.265,0.239,0.206,0.226,0.29,0.261,0.067,0.114,0.255,0.215
Texas Tech,0.334,0.249,0.273,0.233,0.394,0.303,0.288,0.257,0.27,0.19,0.251,0.207
Toledo,0.149,0.168,0.065,0.13,0.094,0.181,0.153,0.206,0.217,0.19,0.009,0.087
Troy,0.096,0.122,0.068,0.136,0.147,0.186,0.159,0.217,0.126,0.134,0.006,0.086
Tulane,0.144,0.171,0.301,0.226,0.146,0.198,0.348,0.275,0.15,0.158,0.26,0.187
Tulsa,0.122,0.163,0.203,0.172,0.203,0.246,0.252,0.222,0.066,0.101,0.152,0.148
UAB,0.163,0.182,0.083,0.126,0.199,0.236,0.256,0.256,0.127,0.146,-0.081,0.016
UCF,0.165,0.184,0.253,0.216,0.057,0.178,0.286,0.248,0.266,0.21,0.24,0.191
UCLA,0.323,0.288,0.212,0.217,0.399,0.327,0.308,0.292,0.277,0.232,0.081,0.122
UMass,0.062,0.106,0.365,0.297,0.099,0.178,0.547,0.366,0.05,0.1,0.249,0.212
UNLV,0.164,0.207,0.237,0.194,0.124,0.227,0.396,0.276,0.211,0.188,0.115,0.138
USC,0.277,0.246,0.272,0.241,0.331,0.302,0.556,0.364,0.186,0.157,0.056,0.106
Utah,0.223,0.236,0.149,0.156,0.246,0.264,0.179,0.212,0.216,0.205,0.131,0.126
Utah State,0.233,0.229,0.288,0.238,0.388,0.328,0.255,0.244,0.072,0.108,0.327,0.244
UTEP,0.166,0.164,-0.04,0.091,0.54,0.35,0.077,0.19,-0.014,0.051,-0.093,0.051
UT San Antonio,0.247,0.205,0.1,0.135,0.394,0.3,0.175,0.206,0.142,0.125,0.056,0.115
Vanderbilt,0.07,0.141,0.327,0.283,0.149,0.222,0.413,0.33,-0.011,0.065,0.246,0.214
Virginia,0.304,0.246,0.252,0.235,0.368,0.311,0.341,0.302,0.198,0.161,0.175,0.16
Virginia Tech,0.068,0.143,0.174,0.177,0.139,0.211,0.098,0.194,0.019,0.11,0.268,0.215
Wake Forest,0.264,0.225,0.279,0.222,0.511,0.343,0.252,0.236,0.07,0.109,0.288,0.208
Washington,0.215,0.181,0.182,0.168,0.249,0.234,0.12,0.207,0.193,0.159,0.253,0.175
Washington State,0.128,0.145,0.193,0.18,0.168,0.206,0.198,0.218,0.082,0.107,0.199,0.175
Western Kentucky,0.346,0.312,0.311,0.278,0.417,0.355,0.426,0.345,0.192,0.193,0.217,0.182
Western Michigan,0.268,0.243,0.275,0.238,0.361,0.3,0.33,0.287,0.201,0.187,0.242,0.197
West Virginia,0.165,0.177,0.215,0.192,0.185,0.218,0.336,0.279,0.18,0.167,0.079,0.109
Wisconsin,0.088,0.129,-0.0,0.083,-0.088,0.114,0.053,0.163,0.213,0.19,-0.041,0.053
Wyoming,0.203,0.191,0.09,0.143,0.161,0.22,0.013,0.165,0.259,0.193,0.155,0.16
