school,rawOffAll,adjOffAll,rawDefAll,adjDefAll,rawOffPass,adjOffPass,rawDefPass,adjDefPass,rawOffRush,adjOffRush,rawDefRush,adjDefRush
Air Force,0.236,0.22,0.248,0.222,0.165,0.185,0.305,0.273,0.282,0.263,0.267,0.2
Akron,0.086,0.092,0.165,0.139,0.142,0.183,0.14,0.131,0.039,0.032,0.203,0.17
Alabama,0.275,0.311,-0.018,-0.057,0.267,0.305,0.003,-0.009,0.314,0.311,-0.034,-0.038
Appalachian State,0.254,0.22,0.106,0.094,0.317,0.268,0.133,0.128,0.231,0.203,0.105,0.103
Arizona,0.334,0.337,0.218,0.197,0.309,0.324,0.26,0.261,0.367,0.314,0.194,0.179
Arizona State,0.19,0.215,0.221,0.152,0.259,0.279,0.228,0.173,0.155,0.151,0.247,0.194
Arkansas,0.204,0.252,0.245,0.182,0.273,0.308,0.371,0.295,0.153,0.18,0.196,0.145
Arkansas State,0.174,0.138,0.063,0.083,0.262,0.226,0.144,0.17,0.136,0.113,0.038,0.062
Army,0.292,0.274,0.217,0.205,-0.202,0.074,0.208,0.214,0.337,0.317,0.307,0.25
Auburn,0.217,0.254,0.039,-0.03,0.279,0.301,0.039,-0.0,0.192,0.213,0.063,0.02
Ball State,0.033,0.053,0.266,0.27,-0.035,0.041,0.361,0.322,0.129,0.126,0.225,0.24
Baylor,0.136,0.191,0.221,0.163,0.23,0.261,0.324,0.251,0.058,0.105,0.155,0.138
Boise State,0.144,0.186,0.103,0.1,0.333,0.337,0.155,0.158,0.023,0.082,0.087,0.083
Boston College,0.076,0.154,0.086,0.05,0.099,0.185,0.013,0.041,0.094,0.146,0.164,0.118
Bowling Green,0.116,0.157,0.302,0.289,0.131,0.191,0.32,0.288,0.143,0.16,0.317,0.31
Buffalo,0.225,0.202,0.184,0.186,0.396,0.374,0.227,0.272,0.076,0.041,0.169,0.126
BYU,0.085,0.096,0.144,0.131,0.075,0.106,0.334,0.311,0.13,0.125,0.025,0.029
California,0.136,0.147,0.179,0.118,0.166,0.207,0.23,0.178,0.118,0.089,0.171,0.128
Central Michigan,0.099,0.133,0.074,0.103,0.18,0.225,0.067,0.135,0.054,0.073,0.118,0.128
Charlotte,-0.031,0.001,0.251,0.235,-0.165,-0.059,0.378,0.325,0.098,0.116,0.188,0.192
Cincinnati,0.128,0.139,0.219,0.2,0.129,0.144,0.379,0.328,0.157,0.164,0.146,0.14
Clemson,0.224,0.277,-0.032,-0.062,0.219,0.262,-0.033,-0.029,0.245,0.272,0.013,0.0
Coastal Carolina,0.16,0.162,0.285,0.258,0.185,0.186,0.459,0.38,0.149,0.149,0.172,0.169
Colorado,0.147,0.154,0.214,0.165,0.226,0.238,0.207,0.166,0.09,0.082,0.269,0.232
Colorado State,0.28,0.265,0.219,0.23,0.445,0.391,0.236,0.257,0.15,0.143,0.224,0.204
Connecticut,0.108,0.108,0.305,0.258,0.208,0.182,0.424,0.354,0.027,0.05,0.189,0.163
Duke,0.088,0.137,0.033,0.031,0.038,0.098,0.019,0.069,0.171,0.199,0.067,0.052
East Carolina,0.117,0.145,0.422,0.37,0.233,0.232,0.662,0.53,-0.036,0.024,0.294,0.261
Eastern Michigan,0.101,0.1,0.094,0.097,0.212,0.234,0.122,0.17,-0.006,-0.015,0.105,0.076
Florida,0.137,0.186,0.132,0.101,0.151,0.213,0.215,0.201,0.146,0.161,0.075,0.066
Florida Atlantic,0.322,0.294,0.139,0.133,0.336,0.294,0.162,0.16,0.345,0.299,0.135,0.141
Florida International,0.187,0.181,0.228,0.224,0.308,0.282,0.318,0.301,0.112,0.116,0.16,0.153
Florida State,0.143,0.188,0.071,0.028,0.211,0.262,0.115,0.118,0.097,0.126,0.068,0.014
Fresno State,0.175,0.188,0.056,0.063,0.334,0.313,0.15,0.164,0.097,0.127,-0.027,-0.012
Georgia,0.287,0.343,0.052,-0.017,0.443,0.453,0.044,0.031,0.245,0.264,0.07,0.008
Georgia Southern,0.094,0.126,0.218,0.192,0.025,0.112,0.337,0.299,0.137,0.156,0.154,0.135
Georgia State,0.145,0.132,0.174,0.18,0.31,0.265,0.308,0.295,-0.008,0.014,0.081,0.088
Georgia Tech,0.193,0.253,0.144,0.117,0.069,0.185,0.18,0.186,0.247,0.275,0.161,0.119
Hawai'i,0.162,0.158,0.273,0.264,0.137,0.153,0.438,0.384,0.195,0.172,0.205,0.19
Houston,0.19,0.165,0.11,0.072,0.276,0.221,0.188,0.168,0.147,0.141,0.067,0.027
Idaho,0.093,0.075,0.134,0.126,0.159,0.151,0.17,0.162,0.045,0.042,0.138,0.131
Illinois,0.016,0.076,0.195,0.177,0.008,0.092,0.258,0.24,0.079,0.113,0.183,0.162
Indiana,0.119,0.174,0.091,0.086,0.236,0.279,0.172,0.182,0.008,0.061,0.055,0.051
Iowa,0.145,0.196,0.035,0.024,0.303,0.324,0.062,0.077,0.037,0.078,0.04,0.044
Iowa State,0.189,0.232,0.134,0.076,0.353,0.361,0.243,0.17,0.025,0.071,0.029,0.034
Kansas,0.032,0.092,0.261,0.184,0.079,0.134,0.516,0.378,-0.01,0.047,0.083,0.074
Kansas State,0.201,0.218,0.211,0.146,0.326,0.304,0.314,0.229,0.14,0.147,0.095,0.097
Kent State,-0.02,0.025,0.227,0.191,-0.085,0.028,0.271,0.229,0.033,0.058,0.211,0.183
Kentucky,0.174,0.208,0.225,0.178,0.18,0.219,0.249,0.211,0.171,0.182,0.245,0.183
Louisiana,0.154,0.142,0.295,0.269,0.152,0.148,0.339,0.298,0.2,0.181,0.287,0.239
Louisiana Monroe,0.22,0.235,0.359,0.332,0.343,0.332,0.465,0.404,0.122,0.141,0.286,0.262
Louisiana Tech,0.205,0.198,0.128,0.139,0.228,0.223,0.093,0.138,0.207,0.19,0.195,0.173
Louisville,0.36,0.389,0.154,0.136,0.33,0.355,0.208,0.209,0.426,0.395,0.152,0.124
LSU,0.221,0.271,0.125,0.087,0.341,0.359,0.125,0.147,0.169,0.199,0.125,0.07
Marshall,0.149,0.143,0.073,0.088,0.304,0.276,0.169,0.183,-0.003,0.016,0.009,0.034
Maryland,0.049,0.136,0.218,0.18,0.042,0.152,0.25,0.231,0.131,0.175,0.227,0.186
Memphis,0.344,0.29,0.199,0.151,0.446,0.37,0.252,0.204,0.261,0.208,0.176,0.151
Miami,0.159,0.214,0.074,0.052,0.194,0.245,0.115,0.134,0.148,0.175,0.038,0.013
Miami (OH),0.123,0.128,0.095,0.114,0.193,0.208,0.08,0.126,0.073,0.073,0.115,0.118
Michigan,0.091,0.146,-0.006,-0.014,0.063,0.133,-0.021,0.027,0.149,0.178,0.048,0.034
Michigan State,0.128,0.182,0.09,0.07,0.237,0.29,0.151,0.171,0.065,0.086,0.05,0.024
Middle Tennessee,0.156,0.138,0.063,0.086,0.174,0.179,0.115,0.16,0.13,0.102,0.089,0.094
Minnesota,0.091,0.134,0.167,0.163,0.005,0.097,0.209,0.206,0.156,0.169,0.164,0.16
Mississippi State,0.16,0.199,0.034,-0.016,0.1,0.16,0.032,0.041,0.227,0.236,0.076,0.029
Missouri,0.309,0.318,0.17,0.144,0.467,0.433,0.269,0.248,0.198,0.199,0.086,0.083
Navy,0.268,0.264,0.26,0.19,0.206,0.229,0.423,0.355,0.294,0.274,0.133,0.054
NC State,0.229,0.275,0.136,0.088,0.336,0.362,0.18,0.163,0.145,0.165,0.09,0.049
Nebraska,0.098,0.177,0.262,0.225,0.205,0.269,0.262,0.244,0.016,0.086,0.307,0.252
Nevada,0.153,0.147,0.228,0.2,0.233,0.238,0.389,0.33,0.09,0.084,0.152,0.123
New Mexico,0.114,0.126,0.228,0.218,0.006,0.093,0.347,0.331,0.188,0.176,0.14,0.114
New Mexico State,0.157,0.162,0.12,0.146,0.187,0.195,0.145,0.199,0.125,0.13,0.118,0.108
North Carolina,0.105,0.152,0.206,0.17,0.147,0.191,0.259,0.268,0.129,0.158,0.21,0.143
Northern Illinois,0.1,0.102,0.019,0.047,0.117,0.162,0.059,0.102,0.126,0.099,0.015,0.04
North Texas,0.233,0.226,0.221,0.201,0.314,0.322,0.268,0.27,0.2,0.167,0.22,0.166
Northwestern,0.134,0.16,0.048,0.044,0.104,0.159,0.127,0.143,0.181,0.162,-0.04,-0.024
Notre Dame,0.256,0.298,0.08,0.033,0.114,0.184,0.171,0.116,0.372,0.371,0.008,-0.004
Ohio,0.292,0.268,0.085,0.108,0.226,0.231,0.138,0.151,0.348,0.289,0.031,0.083
Ohio State,0.313,0.326,0.04,0.003,0.343,0.343,0.086,0.046,0.328,0.3,0.016,0.006
