offense,hfa,defense,ppa
Houston Baptist,-1.0,North Texas,-0.7029700220436519
Houston Baptist,-1.0,North Texas,1.6335325339896425
Houston Baptist,-1.0,North Texas,2.305246437702383
Houston Baptist,-1.0,North Texas,-0.3100175172690756
Houston Baptist,-1.0,North Texas,0.5196668735465306
Houston Baptist,-1.0,North Texas,-0.3882383440694163
Houston Baptist,-1.0,North Texas,-0.4964187188337484
Houston Baptist,-1.0,North Texas,-1.5842666945893455
Houston Baptist,-1.0,North Texas,1.6706926119305996
Houston Baptist,-1.0,North Texas,0.938021275120443
North Texas,1.0,Houston Baptist,-0.5874795431016855
North Texas,1.0,Houston Baptist,2.823822730701634
North Texas,1.0,Houston Baptist,-0.385960016074776
North Texas,1.0,Houston Baptist,4.227371948196149
Houston Baptist,-1.0,North Texas,-0.664842805991146
Houston Baptist,-1.0,North Texas,-0.07060685340530524
Houston Baptist,-1.0,North Texas,-0.03055811460695336
North Texas,1.0,Houston Baptist,-1.1618692012952412
North Texas,1.0,Houston Baptist,0.0723601066912227
North Texas,1.0,Houston Baptist,2.1770731879830425
North Texas,1.0,Houston Baptist,-0.4522778946200265
North Texas,1.0,Houston Baptist,-0.6084005148647674
North Texas,1.0,Houston Baptist,0.5893070815170951
North Texas,1.0,Houston Baptist,3.1714556902337563
Houston Baptist,-1.0,North Texas,0.47534585042398364
Houston Baptist,-1.0,North Texas,-0.0971966158877571
Houston Baptist,-1.0,North Texas,0.4629498851543028
Houston Baptist,-1.0,North Texas,-0.7123638939407835
Houston Baptist,-1.0,North Texas,1.0531664632351907
Houston Baptist,-1.0,North Texas,5.775616872754965
North Texas,1.0,Houston Baptist,-0.45260367932203766
North Texas,1.0,Houston Baptist,1.2876417883520244
North Texas,1.0,Houston Baptist,0.1088137823196469
North Texas,1.0,Houston Baptist,-0.873397455014211
North Texas,1.0,Houston Baptist,-0.7186703560809607
Houston Baptist,-1.0,North Texas,1.1993956515648607
Houston Baptist,-1.0,North Texas,-0.2317555680667987
Houston Baptist,-1.0,North Texas,1.3193498067983958
Houston Baptist,-1.0,North Texas,-0.1462695033279216
Houston Baptist,-1.0,North Texas,0.9750440586356726
Houston Baptist,-1.0,North Texas,3.094592648585188
North Texas,1.0,Houston Baptist,0.0945451165334843
North Texas,1.0,Houston Baptist,-0.6292774000892614
North Texas,1.0,Houston Baptist,1.4652947955017677
North Texas,1.0,Houston Baptist,-0.6439997383019928
North Texas,1.0,Houston Baptist,0.3242953730701554
North Texas,1.0,Houston Baptist,-0.7793377428742323
North Texas,1.0,Houston Baptist,2.404822783760028
North Texas,1.0,Houston Baptist,0.830633837107577
North Texas,1.0,Houston Baptist,-0.226207639518348
North Texas,1.0,Houston Baptist,0.555547785925169
North Texas,1.0,Houston Baptist,0.193301563662509
North Texas,1.0,Houston Baptist,-0.264051636883908
South Alabama,-1.0,Southern Mississippi,-0.7029700220436519
South Alabama,-1.0,Southern Mississippi,-0.2284411734150149
South Alabama,-1.0,Southern Mississippi,7.009166315179988
Southern Mississippi,1.0,South Alabama,-0.5874795431016855
Southern Mississippi,1.0,South Alabama,-0.40831395320271024
Southern Mississippi,1.0,South Alabama,-0.0153384423844747
South Alabama,-1.0,Southern Mississippi,-0.367641675563645
South Alabama,-1.0,Southern Mississippi,-0.6166029178742356
South Alabama,-1.0,Southern Mississippi,1.932523248754503
South Alabama,-1.0,Southern Mississippi,-0.1673002614345122
South Alabama,-1.0,Southern Mississippi,-2.1736873887670605
Southern Mississippi,1.0,South Alabama,2.4691501286181934
Southern Mississippi,1.0,South Alabama,-1.1143038065675126
Southern Mississippi,1.0,South Alabama,2.0189895777752156
Southern Mississippi,1.0,South Alabama,-0.3527156300054807
Southern Mississippi,1.0,South Alabama,-1.1965964853697313
Southern Mississippi,1.0,South Alabama,-1.0236879046157308
South Alabama,-1.0,Southern Mississippi,0.33161303554051
South Alabama,-1.0,Southern Mississippi,0.2392954147189048
South Alabama,-1.0,Southern Mississippi,-0.2283792558160922
South Alabama,-1.0,Southern Mississippi,0.7935179451600343
South Alabama,-1.0,Southern Mississippi,-0.7982008475508557
South Alabama,-1.0,Southern Mississippi,2.4689360221317003
South Alabama,-1.0,Southern Mississippi,-0.4184086843592085
South Alabama,-1.0,Southern Mississippi,3.3900709243723184
South Alabama,-1.0,Southern Mississippi,1.213235297672098
Southern Mississippi,1.0,South Alabama,-0.8014893508157099
Southern Mississippi,1.0,South Alabama,-0.29427450685877776
Southern Mississippi,1.0,South Alabama,-0.2192758455757895
South Alabama,-1.0,Southern Mississippi,-0.3683205836524783
South Alabama,-1.0,Southern Mississippi,-3.6590906325705657
Southern Mississippi,1.0,South Alabama,0.8218247388783606
Southern Mississippi,1.0,South Alabama,0.0796533817976464
Southern Mississippi,1.0,South Alabama,1.5056894652482098
Southern Mississippi,1.0,South Alabama,-0.889254676573113
Southern Mississippi,1.0,South Alabama,0.8904955402525615
Southern Mississippi,1.0,South Alabama,4.453866558556944
Southern Mississippi,1.0,South Alabama,-0.854701227650125
Southern Mississippi,1.0,South Alabama,2.067936525322223
South Alabama,-1.0,Southern Mississippi,0.246959168535291
South Alabama,-1.0,Southern Mississippi,0.5983855085849541
South Alabama,-1.0,Southern Mississippi,0.366045681425021
South Alabama,-1.0,Southern Mississippi,0.6526705871862682
South Alabama,-1.0,Southern Mississippi,0.994570052506427
South Alabama,-1.0,Southern Mississippi,0.3370848727167229
South Alabama,-1.0,Southern Mississippi,0.553726253331563
South Alabama,-1.0,Southern Mississippi,-0.6082596672078662
South Alabama,-1.0,Southern Mississippi,0.348751271639788
South Alabama,-1.0,Southern Mississippi,-1.3274009494956085
Southern Mississippi,1.0,South Alabama,1.0006166758011863
Southern Mississippi,1.0,South Alabama,0.4026034463137036
Southern Mississippi,1.0,South Alabama,-0.99111223388309
Southern Mississippi,1.0,South Alabama,2.348932175449064
Southern Mississippi,1.0,South Alabama,-0.596824390353605
Southern Mississippi,1.0,South Alabama,-0.9539517409419745
Southern Mississippi,1.0,South Alabama,1.9639308312737924
Southern Mississippi,1.0,South Alabama,0.193301563662509
Southern Mississippi,1.0,South Alabama,-0.033603028423459
Southern Mississippi,1.0,South Alabama,0.075035529409716
Southern Mississippi,1.0,South Alabama,-0.26114561815368
Southern Mississippi,1.0,South Alabama,-0.161055460545699
South Alabama,-1.0,Southern Mississippi,1.1166045229565373
South Alabama,-1.0,Southern Mississippi,-1.1387859939569847
South Alabama,-1.0,Southern Mississippi,-0.9077767510913438
Southern Mississippi,1.0,South Alabama,-0.7029700220436519
Southern Mississippi,1.0,South Alabama,-0.34710487712173865
Southern Mississippi,1.0,South Alabama,-0.15871308844886392
South Alabama,-1.0,Southern Mississippi,-1.1612466882658818
South Alabama,-1.0,Southern Mississippi,2.1185471121351664
South Alabama,-1.0,Southern Mississippi,-0.9690270974076257
South Alabama,-1.0,Southern Mississippi,0.520047619940952
South Alabama,-1.0,Southern Mississippi,-1.0750530991764542
South Alabama,-1.0,Southern Mississippi,-3.1308822585392893
South Alabama,-1.0,Southern Mississippi,1.564406103368114
South Alabama,-1.0,Southern Mississippi,-0.3377843039747627
South Alabama,-1.0,Southern Mississippi,-0.7596092409960598
South Alabama,-1.0,Southern Mississippi,4.0004683184728105
Southern Mississippi,1.0,South Alabama,0.1079221455143812
Southern Mississippi,1.0,South Alabama,1.043949706530025
Southern Mississippi,1.0,South Alabama,-1.1590089706435955
Southern Mississippi,1.0,South Alabama,2.103386882432284
Southern Mississippi,1.0,South Alabama,-0.8772679222659558
Southern Mississippi,1.0,South Alabama,1.3977854257542948
Southern Mississippi,1.0,South Alabama,-0.230342397894136
Southern Mississippi,1.0,South Alabama,-0.354534217122651
Southern Mississippi,1.0,South Alabama,-0.4611107136616097
South Alabama,-1.0,Southern Mississippi,-0.3826565410356668
South Alabama,-1.0,Southern Mississippi,0.18057199847946848
South Alabama,-1.0,Southern Mississippi,0.7877261907247242
South Alabama,-1.0,Southern Mississippi,1.3887177392721153
South Alabama,-1.0,Southern Mississippi,0.0943461181043617
South Alabama,-1.0,Southern Mississippi,-1.0198753264847067
South Alabama,-1.0,Southern Mississippi,-1.0838891412979983
South Alabama,-1.0,Southern Mississippi,3.061694611098943
South Alabama,-1.0,Southern Mississippi,-0.182910644371269
South Alabama,-1.0,Southern Mississippi,-0.017413931761254
South Alabama,-1.0,Southern Mississippi,-0.291784144723391
Southern Mississippi,1.0,South Alabama,-1.1387859939569847
Southern Mississippi,1.0,South Alabama,3.0777962213472314
Southern Mississippi,1.0,South Alabama,-0.3601692954121845
Southern Mississippi,1.0,South Alabama,-0.1885388219160615
Southern Mississippi,1.0,South Alabama,-0.273490401696014
Southern Mississippi,1.0,South Alabama,-0.4781190701839168
South Alabama,-1.0,Southern Mississippi,-0.6979456564143147
South Alabama,-1.0,Southern Mississippi,0.6918364639003345
South Alabama,-1.0,Southern Mississippi,0.7848759830040333
South Alabama,-1.0,Southern Mississippi,0.9482786553166224
South Alabama,-1.0,Southern Mississippi,0.1104175997643273
South Alabama,-1.0,Southern Mississippi,-0.7074133929522192
South Alabama,-1.0,Southern Mississippi,5.256008142986319
Southern Mississippi,1.0,South Alabama,-0.5874795431016855
Southern Mississippi,1.0,South Alabama,3.7937152372340446
Southern Mississippi,1.0,South Alabama,-1.4858431411756696
Southern Mississippi,1.0,South Alabama,1.739434837732933
Southern Mississippi,1.0,South Alabama,0.07438453789675
Southern Mississippi,1.0,South Alabama,-0.026059004408019
Southern Mississippi,1.0,South Alabama,0.1453643718965
Southern Mississippi,1.0,South Alabama,0.356301298324245
Southern Mississippi,1.0,South Alabama,-0.476893758740638
Southern Mississippi,1.0,South Alabama,-0.24092369079324
Southern Mississippi,1.0,South Alabama,2.785753974856101
South Alabama,-1.0,Southern Mississippi,-0.7029700220436519
South Alabama,-1.0,Southern Mississippi,3.8081363579880176
South Alabama,-1.0,Southern Mississippi,-0.3683205836524783
South Alabama,-1.0,Southern Mississippi,-0.053229893699541
South Alabama,-1.0,Southern Mississippi,-0.211834514742689
South Alabama,-1.0,Southern Mississippi,-0.2285753959485643
South Alabama,-1.0,Southern Mississippi,-0.4062501190220457
Southern Mississippi,1.0,South Alabama,2.3154245680840733
Southern Mississippi,1.0,South Alabama,-0.1369390380115582
Southern Mississippi,1.0,South Alabama,-0.1449228473880205
Southern Mississippi,1.0,South Alabama,1.99170266597155
Southern Mississippi,1.0,South Alabama,-0.476177221716661
Southern Mississippi,1.0,South Alabama,-0.095895406997053
Southern Mississippi,1.0,South Alabama,-0.428029758031601
Southern Mississippi,1.0,South Alabama,-3.947407842189408
South Alabama,-1.0,Southern Mississippi,-0.34922228255785015
Texas State,1.0,SMU,-0.6045972881119024
Texas State,1.0,SMU,-0.3356440876636855
Texas State,1.0,SMU,3.0086781153990785
Texas State,1.0,SMU,1.467108007877318
Texas State,1.0,SMU,-0.482852560268812
Texas State,1.0,SMU,-0.8072572442422512
Texas State,1.0,SMU,-1.0081489976866838
Texas State,1.0,SMU,3.148843804634458
Texas State,1.0,SMU,-0.624281183667788
Texas State,1.0,SMU,-0.26931522945819
Texas State,1.0,SMU,-2.3494180147576516
SMU,-1.0,Texas State,-0.3623882030735057
SMU,-1.0,Texas State,0.3562790105595255
SMU,-1.0,Texas State,1.244974380343752
SMU,-1.0,Texas State,-1.041155320344064
SMU,-1.0,Texas State,0.7214509551122265
SMU,-1.0,Texas State,1.2819994353219604
SMU,-1.0,Texas State,-0.3704994140104159
SMU,-1.0,Texas State,-1.7078179348132512
SMU,-1.0,Texas State,-0.49213214321907645
SMU,-1.0,Texas State,-0.32783875872600987
Texas State,1.0,SMU,-1.1618692012952412
Texas State,1.0,SMU,-0.9098186366856273
Texas State,1.0,SMU,-0.5497170178024078
SMU,-1.0,Texas State,1.1926147027363
SMU,-1.0,Texas State,0.7103851122578037
SMU,-1.0,Texas State,-2.094324598843871
SMU,-1.0,Texas State,-0.5612468754402302
Texas State,1.0,SMU,-0.2150808966639328
Texas State,1.0,SMU,0.0648764808545472
Texas State,1.0,SMU,-0.4311845610562042
SMU,-1.0,Texas State,1.0102722158723196
SMU,-1.0,Texas State,-1.291324956408099
SMU,-1.0,Texas State,1.703446207965621
SMU,-1.0,Texas State,-2.4141725816649884
SMU,-1.0,Texas State,0.318344430912636
SMU,-1.0,Texas State,0.2193117145878522
Texas State,1.0,SMU,0.6900193064066658
Texas State,1.0,SMU,0.6195700280317222
Texas State,1.0,SMU,0.6303056802855683
Texas State,1.0,SMU,-2.2430993958563246
SMU,-1.0,Texas State,-1.3838406426271828
SMU,-1.0,Texas State,2.6090452484668045
SMU,-1.0,Texas State,-0.4014146126260343
SMU,-1.0,Texas State,1.4003334730375006
SMU,-1.0,Texas State,2.052489771065277
Texas State,1.0,SMU,-0.1142886249388964
Texas State,1.0,SMU,-0.1052988296867126
Texas State,1.0,SMU,1.3443389336674398
Texas State,1.0,SMU,0.7103851122578037
Texas State,1.0,SMU,0.401206596300314
Texas State,1.0,SMU,-1.3492622133523626
Texas State,1.0,SMU,0.8061372558091922
Texas State,1.0,SMU,1.5425907195915955
Texas State,1.0,SMU,0.522346601373256
Texas State,1.0,SMU,-0.4501093998890865
Texas State,1.0,SMU,-0.362082681028621
Texas State,1.0,SMU,2.6959729214765815
SMU,-1.0,Texas State,-0.63079683335922
SMU,-1.0,Texas State,2.032101911929182
SMU,-1.0,Texas State,0.1018198743557602
SMU,-1.0,Texas State,-1.1417165513541647
SMU,-1.0,Texas State,2.2490117953242845
SMU,-1.0,Texas State,0.628271997694076
SMU,-1.0,Texas State,2.004024816101417
Texas State,1.0,SMU,-0.7029700220436519
Texas State,1.0,SMU,2.4105423603856675
Texas State,1.0,SMU,-0.6840321413406637
Texas State,1.0,SMU,-1.0302301559913971
Texas State,1.0,SMU,0.4689235311646876
Texas State,1.0,SMU,2.9975938185149804
Texas State,1.0,SMU,-0.462292755623382
Texas State,1.0,SMU,-0.156746981657788
Texas State,1.0,SMU,1.464451732731337
SMU,-1.0,Texas State,0.6338612725745634
SMU,-1.0,Texas State,-0.45260367932203766
SMU,-1.0,Texas State,3.5577700152664034
SMU,-1.0,Texas State,-0.2162251621009335
SMU,-1.0,Texas State,0.5411911792294295
SMU,-1.0,Texas State,0.074636067054974
SMU,-1.0,Texas State,-0.4333283497169247
SMU,-1.0,Texas State,0.8095604189831997
SMU,-1.0,Texas State,-0.543281572885571
SMU,-1.0,Texas State,2.740036203212782
Texas State,1.0,SMU,-0.1142886249388964
Texas State,1.0,SMU,1.3370277081953519
Texas State,1.0,SMU,-1.1077677360468863
