school,rawOffAll,adjOffAll,rawDefAll,adjDefAll,rawOffPass,adjOffPass,rawDefPass,adjDefPass,rawOffRush,adjOffRush,rawDefRush,adjDefRush
Air Force,0.318,0.306,0.125,0.082,0.731,0.5,0.221,0.198,0.274,0.248,0.032,0.012
Akron,-0.062,-0.055,0.217,0.231,-0.02,0.013,0.314,0.314,-0.137,-0.08,0.175,0.181
Alabama,0.414,0.441,0.013,-0.007,0.618,0.567,0.024,0.059,0.23,0.239,0.05,0.045
Appalachian State,0.273,0.258,0.092,0.08,0.372,0.328,0.12,0.137,0.206,0.182,0.074,0.057
Arizona,0.226,0.237,0.255,0.186,0.24,0.259,0.35,0.285,0.245,0.225,0.205,0.173
Arizona State,0.15,0.18,0.175,0.129,0.287,0.284,0.282,0.243,0.066,0.09,0.065,0.066
Arkansas,0.064,0.143,0.313,0.242,0.024,0.118,0.427,0.337,0.124,0.161,0.239,0.179
Arkansas State,0.214,0.212,0.187,0.168,0.337,0.318,0.214,0.221,0.095,0.095,0.214,0.17
Army,0.263,0.217,0.2,0.175,0.042,0.134,0.28,0.278,0.322,0.266,0.163,0.115
Auburn,0.208,0.268,0.057,-0.035,0.291,0.325,0.122,0.06,0.171,0.198,0.001,-0.02
Ball State,0.247,0.233,0.221,0.195,0.31,0.289,0.275,0.252,0.224,0.205,0.21,0.176
Baylor,0.23,0.258,0.087,0.028,0.289,0.286,0.139,0.124,0.194,0.213,0.06,0.018
Boise State,0.243,0.259,0.134,0.114,0.332,0.335,0.188,0.19,0.176,0.168,0.09,0.079
Boston College,0.227,0.263,0.231,0.202,0.405,0.388,0.417,0.366,0.167,0.174,0.094,0.084
Bowling Green,0.004,0.014,0.32,0.297,-0.031,0.046,0.442,0.39,0.052,0.048,0.262,0.223
Buffalo,0.201,0.18,0.052,0.071,0.162,0.176,0.113,0.148,0.221,0.195,0.026,0.054
BYU,0.193,0.211,0.153,0.136,0.248,0.28,0.287,0.259,0.165,0.142,0.054,0.063
California,0.136,0.173,0.114,0.07,0.17,0.208,0.157,0.13,0.107,0.124,0.087,0.089
Central Michigan,0.222,0.216,0.124,0.146,0.242,0.261,0.274,0.294,0.223,0.186,-0.009,0.019
Charlotte,0.238,0.232,0.242,0.248,0.323,0.317,0.244,0.272,0.2,0.166,0.248,0.221
Cincinnati,0.183,0.206,0.086,0.042,0.199,0.231,0.126,0.104,0.183,0.19,0.067,0.048
Clemson,0.372,0.379,0.008,-0.053,0.368,0.369,0.041,0.014,0.382,0.348,0.005,-0.004
Coastal Carolina,0.225,0.181,0.25,0.224,0.272,0.234,0.356,0.332,0.219,0.167,0.185,0.148
Colorado,0.173,0.215,0.27,0.196,0.239,0.264,0.39,0.303,0.139,0.152,0.184,0.147
Colorado State,0.221,0.209,0.178,0.18,0.362,0.318,0.157,0.208,0.087,0.099,0.191,0.166
