school,rawOffAll,adjOffAll,rawDefAll,adjDefAll,rawOffPass,adjOffPass,rawDefPass,adjDefPass,rawOffRush,adjOffRush,rawDefRush,adjDefRush
Connecticut,0.044,0.073,0.332,0.298,0.033,0.087,0.315,0.299,0.063,0.09,0.346,0.273
Duke,0.048,0.096,0.144,0.109,0.044,0.128,0.14,0.129,0.069,0.088,0.17,0.159
East Carolina,0.153,0.186,0.284,0.281,0.333,0.348,0.396,0.387,0.0,0.028,0.215,0.175
Eastern Michigan,0.232,0.245,0.273,0.26,0.37,0.354,0.333,0.329,0.089,0.106,0.237,0.199
Florida,0.269,0.328,0.064,0.046,0.414,0.44,0.116,0.143,0.107,0.144,0.038,0.031
Florida Atlantic,0.213,0.229,0.106,0.097,0.33,0.333,0.166,0.163,0.131,0.136,0.074,0.071
Florida International,0.182,0.166,0.16,0.166,0.254,0.253,0.107,0.16,0.144,0.11,0.263,0.232
Florida State,0.194,0.212,0.132,0.091,0.243,0.261,0.22,0.199,0.155,0.155,0.072,0.052
Fresno State,0.23,0.232,0.185,0.154,0.255,0.267,0.231,0.217,0.244,0.202,0.165,0.15
Georgia,0.205,0.275,0.029,-0.004,0.313,0.352,0.092,0.093,0.129,0.163,-0.043,-0.036
Georgia Southern,0.147,0.145,0.186,0.115,0.059,0.141,0.339,0.253,0.204,0.175,0.058,0.026
Georgia State,0.227,0.228,0.313,0.277,0.245,0.234,0.41,0.367,0.222,0.218,0.281,0.212
Georgia Tech,0.08,0.17,0.216,0.189,0.038,0.17,0.276,0.253,0.12,0.156,0.206,0.184
Hawai'i,0.288,0.295,0.222,0.194,0.307,0.296,0.162,0.171,0.268,0.248,0.291,0.24
Houston,0.167,0.214,0.284,0.207,0.154,0.211,0.383,0.299,0.204,0.219,0.201,0.133
Illinois,0.106,0.156,0.114,0.117,0.15,0.212,0.216,0.223,0.075,0.098,0.082,0.11
Indiana,0.19,0.232,0.124,0.108,0.266,0.299,0.155,0.176,0.127,0.146,0.109,0.097
Iowa,0.151,0.204,0.066,0.031,0.226,0.265,0.135,0.119,0.104,0.128,0.009,0.014
Iowa State,0.229,0.275,0.153,0.102,0.372,0.369,0.226,0.209,0.07,0.114,0.083,0.052
Kansas,0.183,0.224,0.268,0.209,0.293,0.29,0.376,0.307,0.091,0.146,0.219,0.167
Kansas State,0.19,0.212,0.187,0.12,0.366,0.327,0.183,0.181,0.109,0.141,0.227,0.139
Kent State,0.21,0.216,0.275,0.259,0.302,0.305,0.367,0.344,0.187,0.172,0.247,0.213
Kentucky,0.208,0.226,0.126,0.107,0.007,0.092,0.097,0.133,0.325,0.292,0.19,0.158
Liberty,0.266,0.221,0.176,0.19,0.36,0.33,0.241,0.285,0.182,0.122,0.141,0.129
Louisiana,0.342,0.324,0.125,0.115,0.389,0.349,0.022,0.076,0.332,0.304,0.235,0.195
Louisiana Monroe,0.23,0.248,0.295,0.258,0.2,0.22,0.349,0.307,0.27,0.264,0.284,0.241
Louisiana Tech,0.212,0.185,0.069,0.118,0.289,0.257,0.078,0.15,0.167,0.138,0.103,0.137
Louisville,0.288,0.325,0.248,0.214,0.461,0.436,0.243,0.229,0.198,0.211,0.264,0.211
LSU,0.42,0.478,0.098,0.021,0.613,0.595,0.152,0.109,0.226,0.265,0.051,0.009
Marshall,0.158,0.159,0.148,0.135,0.159,0.18,0.156,0.174,0.173,0.157,0.189,0.159
Maryland,0.084,0.144,0.198,0.153,-0.04,0.075,0.289,0.249,0.208,0.22,0.156,0.137
Memphis,0.323,0.357,0.156,0.117,0.501,0.474,0.166,0.176,0.173,0.205,0.159,0.102
Miami,0.134,0.174,0.093,0.076,0.193,0.25,0.152,0.147,0.11,0.12,0.037,0.057
Miami (OH),0.057,0.091,0.15,0.126,0.11,0.174,0.152,0.156,0.037,0.056,0.16,0.123
Michigan,0.197,0.271,0.072,0.02,0.282,0.335,0.116,0.115,0.153,0.185,0.038,0.002
Michigan State,0.076,0.147,0.085,0.054,0.176,0.225,0.142,0.154,-0.014,0.052,0.03,0.019
Middle Tennessee,0.231,0.25,0.207,0.217,0.308,0.32,0.291,0.31,0.191,0.182,0.159,0.162
Minnesota,0.301,0.357,0.087,0.08,0.595,0.544,0.086,0.127,0.139,0.175,0.128,0.115
Mississippi State,0.259,0.3,0.2,0.121,0.216,0.272,0.335,0.265,0.294,0.282,0.118,0.076
Missouri,0.122,0.17,0.037,0.046,0.193,0.231,0.052,0.118,0.074,0.112,0.022,0.022
Navy,0.369,0.37,0.105,0.086,0.422,0.343,0.231,0.213,0.388,0.371,0.015,0.013
NC State,0.115,0.123,0.199,0.16,0.1,0.12,0.245,0.218,0.162,0.151,0.181,0.156
Nebraska,0.149,0.213,0.147,0.118,0.165,0.218,0.146,0.165,0.171,0.201,0.186,0.16
Nevada,0.115,0.126,0.224,0.208,0.136,0.158,0.331,0.306,0.132,0.125,0.136,0.132
New Mexico,0.119,0.142,0.304,0.267,0.054,0.119,0.409,0.362,0.155,0.154,0.229,0.195
New Mexico State,0.114,0.133,0.285,0.252,0.075,0.107,0.283,0.257,0.189,0.197,0.314,0.271
North Carolina,0.262,0.315,0.118,0.122,0.402,0.434,0.185,0.211,0.174,0.188,0.075,0.093
Northern Illinois,0.128,0.142,0.178,0.168,0.227,0.256,0.263,0.263,0.071,0.072,0.143,0.118
North Texas,0.162,0.15,0.216,0.211,0.292,0.268,0.261,0.257,0.04,0.053,0.204,0.195
Northwestern,0.019,0.082,0.089,0.063,-0.02,0.099,0.188,0.192,0.078,0.092,0.035,0.042
Notre Dame,0.246,0.261,0.069,0.033,0.38,0.365,0.059,0.076,0.167,0.164,0.124,0.1
Ohio,0.295,0.285,0.237,0.25,0.313,0.308,0.245,0.277,0.3,0.259,0.26,0.233
Ohio State,0.383,0.46,0.003,-0.014,0.524,0.534,-0.043,0.003,0.296,0.328,0.069,0.054
Oklahoma,0.419,0.44,0.165,0.103,0.619,0.544,0.237,0.195,0.303,0.322,0.116,0.088
Oklahoma State,0.228,0.266,0.154,0.103,0.292,0.29,0.204,0.178,0.232,0.263,0.118,0.082
Old Dominion,-0.006,0.012,0.186,0.183,-0.058,0.025,0.412,0.355,0.085,0.073,0.062,0.085
Ole Miss,0.182,0.243,0.199,0.129,0.287,0.319,0.27,0.24,0.164,0.189,0.136,0.084
Oregon,0.275,0.31,0.035,-0.005,0.393,0.387,0.058,0.052,0.181,0.185,0.034,0.035
Oregon State,0.248,0.282,0.243,0.178,0.314,0.336,0.292,0.234,0.173,0.174,0.188,0.151
Penn State,0.247,0.304,0.083,0.053,0.289,0.337,0.166,0.16,0.229,0.242,-0.006,0.0
Pittsburgh,0.108,0.137,0.046,0.021,0.177,0.208,0.071,0.082,0.043,0.064,0.034,0.039
Purdue,0.139,0.207,0.202,0.178,0.265,0.307,0.248,0.275,-0.034,0.031,0.192,0.146
Rice,0.064,0.087,0.225,0.207,0.098,0.136,0.411,0.364,0.059,0.08,0.074,0.072
Rutgers,-0.013,0.045,0.262,0.206,-0.029,0.063,0.35,0.298,0.028,0.07,0.205,0.174
San Diego State,0.068,0.077,0.04,0.048,0.253,0.243,0.121,0.154,-0.056,-0.029,-0.039,-0.008
San José State,0.218,0.218,0.237,0.223,0.363,0.34,0.241,0.275,0.039,0.064,0.258,0.212
SMU,0.234,0.265,0.168,0.132,0.38,0.376,0.226,0.216,0.122,0.153,0.117,0.082
South Alabama,0.053,0.068,0.18,0.148,0.02,0.099,0.344,0.305,0.118,0.101,0.1,0.073
South Carolina,0.085,0.163,0.142,0.075,0.058,0.173,0.241,0.201,0.13,0.147,0.056,0.028
Southern Mississippi,0.159,0.184,0.154,0.137,0.353,0.349,0.273,0.263,0.002,0.039,0.035,0.035
South Florida,0.124,0.163,0.178,0.129,0.074,0.138,0.206,0.18,0.233,0.238,0.171,0.134
Stanford,0.159,0.21,0.224,0.163,0.216,0.254,0.35,0.288,0.089,0.114,0.134,0.112
Syracuse,0.108,0.152,0.207,0.189,0.107,0.157,0.207,0.212,0.127,0.146,0.219,0.191
TCU,0.143,0.187,0.102,0.039,0.06,0.117,0.194,0.163,0.249,0.261,0.034,0.017
Temple,0.12,0.138,0.098,0.072,0.203,0.227,0.116,0.134,0.061,0.076,0.102,0.07
Tennessee,0.144,0.2,0.106,0.083,0.265,0.295,0.088,0.127,0.053,0.102,0.134,0.101
Texas,0.296,0.345,0.199,0.132,0.35,0.361,0.321,0.26,0.246,0.27,0.08,0.049
Texas A&M,0.196,0.252,0.118,0.055,0.208,0.257,0.158,0.151,0.239,0.252,0.106,0.055
Texas State,0.034,0.067,0.231,0.187,0.074,0.121,0.391,0.337,-0.023,0.029,0.161,0.115
Texas Tech,0.184,0.21,0.226,0.167,0.207,0.219,0.369,0.306,0.183,0.192,0.118,0.072
Toledo,0.225,0.208,0.281,0.262,0.24,0.227,0.328,0.308,0.252,0.222,0.262,0.224
Troy,0.214,0.221,0.23,0.232,0.288,0.274,0.291,0.296,0.202,0.202,0.191,0.178
Tulane,0.237,0.269,0.145,0.105,0.238,0.275,0.202,0.188,0.237,0.249,0.117,0.073
Tulsa,0.145,0.194,0.17,0.107,0.248,0.271,0.306,0.233,0.062,0.113,0.098,0.052
UAB,0.077,0.094,0.039,0.089,0.177,0.199,0.054,0.132,0.02,0.048,0.044,0.086
UCF,0.292,0.312,0.056,0.065,0.38,0.375,0.1,0.14,0.247,0.247,0.027,0.041
UCLA,0.152,0.199,0.332,0.256,0.216,0.257,0.488,0.378,0.12,0.143,0.18,0.158
UMass,0.001,0.006,0.429,0.432,-0.022,0.03,0.517,0.487,0.038,0.04,0.406,0.364
UNLV,0.135,0.156,0.218,0.216,0.084,0.141,0.262,0.263,0.204,0.185,0.195,0.19
USC,0.265,0.317,0.214,0.163,0.386,0.401,0.223,0.192,0.122,0.153,0.229,0.192
Utah,0.298,0.312,0.011,-0.016,0.507,0.448,0.022,0.032,0.192,0.192,0.041,0.051
Utah State,0.155,0.166,0.194,0.159,0.215,0.215,0.281,0.245,0.089,0.113,0.154,0.135
UTEP,0.136,0.13,0.323,0.321,0.158,0.179,0.445,0.397,0.145,0.126,0.248,0.242
UT San Antonio,0.115,0.139,0.224,0.238,0.062,0.112,0.293,0.299,0.202,0.205,0.2,0.191
Vanderbilt,0.039,0.108,0.23,0.182,-0.019,0.076,0.297,0.236,0.175,0.205,0.222,0.188
Virginia,0.167,0.23,0.185,0.161,0.199,0.27,0.191,0.18,0.149,0.16,0.182,0.169
Virginia Tech,0.186,0.211,0.108,0.101,0.366,0.342,0.123,0.137,0.098,0.115,0.151,0.136
Wake Forest,0.164,0.185,0.183,0.161,0.343,0.33,0.291,0.279,0.049,0.075,0.096,0.092
Washington,0.22,0.23,0.084,0.032,0.293,0.298,0.105,0.094,0.181,0.171,0.12,0.101
Washington State,0.257,0.282,0.257,0.207,0.296,0.312,0.314,0.281,0.161,0.154,0.226,0.177
Western Kentucky,0.146,0.147,0.106,0.107,0.218,0.221,0.168,0.185,0.108,0.113,0.07,0.076
Western Michigan,0.253,0.223,0.152,0.153,0.3,0.279,0.214,0.237,0.234,0.2,0.134,0.124
West Virginia,0.072,0.135,0.175,0.121,0.194,0.221,0.259,0.239,-0.096,0.003,0.126,0.079
Wisconsin,0.295,0.361,0.04,-0.013,0.422,0.435,0.061,0.054,0.25,0.275,0.07,0.045
Wyoming,0.154,0.164,0.062,0.081,0.104,0.15,0.168,0.21,0.182,0.183,-0.037,-0.004
