school,rawOffAll,adjOffAll,rawDefAll,adjDefAll,rawOffPass,adjOffPass,rawDefPass,adjDefPass,rawOffRush,adjOffRush,rawDefRush,adjDefRush
Ohio State,0.448,0.377,-0.002,0.071,0.666,0.458,0.022,0.123,0.29,0.237,-0.022,0.086
Oklahoma,0.252,0.236,0.21,0.179,0.283,0.249,0.239,0.224,0.227,0.206,0.194,0.168
Oklahoma State,0.14,0.168,0.233,0.199,0.181,0.21,0.342,0.29,0.103,0.135,0.107,0.12
Old Dominion,0.165,0.167,0.232,0.223,0.245,0.238,0.33,0.284,0.045,0.102,0.159,0.161
Ole Miss,0.29,0.277,0.19,0.196,0.31,0.274,0.259,0.255,0.285,0.238,0.126,0.137
Oregon,0.34,0.283,0.257,0.211,0.291,0.262,0.316,0.263,0.39,0.274,0.185,0.16
Oregon State,0.235,0.214,0.124,0.136,0.279,0.261,0.078,0.149,0.202,0.169,0.222,0.177
Penn State,0.212,0.204,0.113,0.117,0.273,0.252,0.137,0.167,0.147,0.149,0.108,0.114
Pittsburgh,0.187,0.177,0.092,0.115,0.242,0.227,0.075,0.134,0.204,0.183,0.116,0.142
Purdue,0.201,0.198,0.194,0.168,0.245,0.241,0.273,0.24,0.152,0.156,0.103,0.126
Rice,0.133,0.13,0.313,0.248,0.109,0.175,0.417,0.297,0.182,0.143,0.254,0.193
Rutgers,-0.036,0.055,0.132,0.147,0.004,0.129,0.145,0.185,-0.046,0.069,0.133,0.141
San Diego State,0.102,0.095,0.129,0.147,0.135,0.181,0.238,0.237,0.052,0.084,0.014,0.092
San José State,0.204,0.174,0.052,0.133,0.278,0.251,0.044,0.178,0.091,0.115,0.087,0.129
SMU,0.216,0.208,0.232,0.199,0.298,0.269,0.217,0.212,0.137,0.148,0.294,0.219
South Alabama,0.218,0.188,0.079,0.123,0.305,0.263,0.116,0.164,0.141,0.139,0.053,0.119
South Carolina,0.159,0.17,0.162,0.169,0.178,0.205,0.194,0.211,0.173,0.16,0.19,0.174
Southern Mississippi,0.027,0.092,0.086,0.133,0.106,0.182,0.093,0.167,-0.019,0.071,0.082,0.127
South Florida,0.172,0.194,0.33,0.259,0.071,0.172,0.265,0.232,0.252,0.204,0.385,0.26
Stanford,0.112,0.139,0.289,0.205,0.12,0.185,0.225,0.19,0.136,0.139,0.361,0.242
Syracuse,0.212,0.219,0.088,0.138,0.232,0.25,0.048,0.166,0.192,0.169,0.199,0.185
TCU,0.371,0.3,0.206,0.176,0.442,0.323,0.268,0.237,0.316,0.235,0.176,0.156
