school,rawOffAll,adjOffAll,rawDefAll,adjDefAll,rawOffPass,adjOffPass,rawDefPass,adjDefPass,rawOffRush,adjOffRush,rawDefRush,adjDefRush
Air Force,0.211,0.175,0.154,0.157,0.405,0.283,0.258,0.256,0.204,0.174,0.061,0.078
Akron,0.133,0.134,0.235,0.231,0.172,0.19,0.279,0.268,0.127,0.134,0.229,0.208
Alabama,0.265,0.274,-0.099,-0.091,0.281,0.281,-0.053,-0.035,0.288,0.263,-0.088,-0.025
Appalachian State,0.191,0.161,0.038,0.09,0.199,0.18,-0.001,0.08,0.225,0.189,0.104,0.135
Arizona,0.157,0.181,0.295,0.252,0.065,0.168,0.378,0.315,0.269,0.222,0.245,0.212
Arizona State,0.124,0.13,0.305,0.24,0.163,0.188,0.42,0.316,0.076,0.088,0.243,0.206
Arkansas,0.175,0.209,0.261,0.216,0.357,0.356,0.175,0.189,0.043,0.083,0.353,0.253
Arkansas State,0.116,0.121,0.037,0.093,0.252,0.229,0.055,0.136,0.043,0.077,0.053,0.095
Army,0.187,0.164,0.172,0.2,-0.061,0.114,0.241,0.275,0.242,0.21,0.142,0.141
Auburn,0.208,0.224,0.113,0.097,0.245,0.271,0.22,0.195,0.212,0.198,0.037,0.065
Ball State,0.147,0.133,0.239,0.227,0.071,0.106,0.322,0.274,0.23,0.189,0.15,0.167
Baylor,0.226,0.204,0.164,0.145,0.25,0.237,0.133,0.133,0.231,0.194,0.21,0.184
Boise State,0.291,0.255,0.12,0.128,0.436,0.364,0.128,0.177,0.187,0.17,0.154,0.129
Boston College,-0.017,0.031,0.101,0.109,0.04,0.122,0.181,0.19,-0.043,0.018,0.055,0.085
Bowling Green,0.045,0.069,0.307,0.275,-0.062,0.04,0.411,0.352,0.17,0.151,0.222,0.197
Buffalo,0.084,0.087,0.199,0.217,0.095,0.121,0.249,0.251,0.096,0.107,0.209,0.198
BYU,0.148,0.157,0.107,0.11,0.075,0.121,0.226,0.211,0.242,0.226,0.016,0.065
California,0.215,0.217,0.312,0.266,0.26,0.273,0.328,0.28,0.187,0.165,0.327,0.269
Central Michigan,0.139,0.131,0.186,0.174,0.214,0.204,0.273,0.245,0.067,0.093,0.125,0.126
Charlotte,0.081,0.074,0.203,0.204,0.017,0.068,0.307,0.3,0.159,0.136,0.102,0.112
Cincinnati,0.043,0.075,0.155,0.159,0.134,0.159,0.276,0.273,-0.029,0.039,0.108,0.114
Clemson,0.231,0.264,0.033,0.04,0.362,0.368,0.012,0.044,0.108,0.152,0.056,0.076
Colorado,0.144,0.159,0.068,0.056,0.221,0.243,0.042,0.062,0.101,0.107,0.127,0.127
Colorado State,0.245,0.231,0.238,0.229,0.337,0.293,0.352,0.313,0.196,0.19,0.177,0.167
Connecticut,0.025,0.059,0.191,0.209,0.06,0.099,0.321,0.327,0.008,0.069,0.096,0.113
