school,rawOffAll,adjOffAll,rawDefAll,adjDefAll,rawOffPass,adjOffPass,rawDefPass,adjDefPass,rawOffRush,adjOffRush,rawDefRush,adjDefRush
South Florida,0.169,0.16,0.271,0.252,0.171,0.185,0.373,0.318,0.207,0.18,0.186,0.179
Stanford,0.091,0.125,0.317,0.238,0.132,0.176,0.411,0.311,0.082,0.109,0.202,0.162
Syracuse,0.074,0.115,0.191,0.177,0.003,0.132,0.247,0.233,0.145,0.143,0.144,0.135
TCU,0.246,0.226,0.192,0.193,0.293,0.267,0.232,0.236,0.194,0.176,0.157,0.157
Temple,0.082,0.09,0.312,0.281,0.141,0.162,0.485,0.381,0.003,0.066,0.199,0.18
Tennessee,0.233,0.227,0.123,0.117,0.257,0.247,0.224,0.206,0.245,0.217,0.054,0.093
Texas,0.254,0.244,0.097,0.109,0.317,0.298,0.213,0.205,0.189,0.175,-0.034,0.051
Texas A&M,0.228,0.22,0.038,0.078,0.321,0.279,0.213,0.217,0.139,0.155,-0.034,0.048
Texas State,0.213,0.184,0.217,0.221,0.229,0.215,0.26,0.26,0.256,0.199,0.201,0.187
Texas Tech,0.151,0.156,0.199,0.172,0.109,0.164,0.258,0.233,0.221,0.182,0.181,0.15
Toledo,0.292,0.249,0.098,0.145,0.43,0.339,0.054,0.148,0.229,0.185,0.145,0.152
Troy,0.216,0.196,0.066,0.103,0.318,0.281,0.115,0.162,0.097,0.11,0.045,0.095
Tulane,0.215,0.183,0.172,0.173,0.406,0.317,0.268,0.255,0.113,0.111,0.03,0.089
Tulsa,0.135,0.144,0.316,0.269,0.176,0.206,0.413,0.331,0.106,0.118,0.218,0.185
UAB,0.251,0.216,0.301,0.266,0.25,0.229,0.238,0.231,0.256,0.209,0.358,0.277
UCF,0.316,0.265,0.176,0.163,0.398,0.317,0.098,0.148,0.295,0.233,0.277,0.213
UCLA,0.146,0.152,0.053,0.075,0.124,0.17,0.141,0.159,0.176,0.156,-0.063,0.039
UMass,0.143,0.159,0.355,0.287,0.136,0.187,0.358,0.286,0.228,0.191,0.366,0.268
UNLV,0.287,0.244,0.208,0.214,0.433,0.334,0.322,0.297,0.194,0.172,0.133,0.144
USC,0.389,0.342,0.259,0.227,0.43,0.375,0.323,0.285,0.39,0.276,0.252,0.211
Utah,0.103,0.129,0.154,0.114,0.104,0.169,0.194,0.168,0.14,0.14,0.104,0.11
Utah State,0.178,0.18,0.212,0.229,0.23,0.233,0.264,0.268,0.134,0.142,0.194,0.188
UTEP,0.136,0.145,0.242,0.225,0.242,0.233,0.237,0.229,0.037,0.088,0.267,0.225
UT San Antonio,0.227,0.182,0.144,0.173,0.299,0.246,0.165,0.214,0.168,0.143,0.153,0.152
Vanderbilt,0.029,0.076,0.327,0.261,0.091,0.132,0.402,0.305,0.041,0.104,0.248,0.204
Virginia,0.141,0.174,0.255,0.209,0.217,0.239,0.266,0.229,0.092,0.13,0.24,0.194
Virginia Tech,0.167,0.185,0.176,0.198,0.224,0.23,0.222,0.252,0.157,0.172,0.155,0.158
Wake Forest,0.028,0.088,0.221,0.208,0.054,0.148,0.397,0.323,0.073,0.107,0.066,0.103
Washington,0.39,0.328,0.167,0.147,0.513,0.406,0.082,0.117,0.21,0.181,0.293,0.22
Washington State,0.167,0.179,0.155,0.147,0.22,0.228,0.221,0.219,0.157,0.158,0.194,0.167
Western Kentucky,0.185,0.189,0.205,0.2,0.233,0.235,0.203,0.21,0.091,0.124,0.241,0.211
Western Michigan,0.144,0.168,0.208,0.222,0.21,0.226,0.247,0.261,0.081,0.123,0.21,0.192
West Virginia,0.218,0.206,0.239,0.219,0.184,0.209,0.239,0.24,0.242,0.203,0.243,0.196
Wisconsin,0.149,0.169,0.103,0.145,0.097,0.153,0.118,0.185,0.227,0.2,0.095,0.13
Wyoming,0.151,0.151,0.213,0.198,0.153,0.17,0.281,0.263,0.156,0.161,0.152,0.143
