school,rawOffAll,adjOffAll,rawDefAll,adjDefAll,rawOffPass,adjOffPass,rawDefPass,adjDefPass,rawOffRush,adjOffRush,rawDefRush,adjDefRush
Air Force,0.262,0.213,0.121,0.163,0.352,0.252,0.151,0.196,0.273,0.223,0.099,0.138
Akron,0.053,0.077,0.175,0.208,0.041,0.1,0.158,0.222,0.09,0.117,0.175,0.174
Alabama,0.276,0.254,0.095,0.101,0.369,0.295,0.085,0.127,0.222,0.206,0.14,0.135
Appalachian State,0.252,0.234,0.192,0.203,0.432,0.352,0.16,0.198,0.135,0.151,0.224,0.2
Arizona,0.315,0.282,0.173,0.164,0.385,0.332,0.207,0.204,0.23,0.192,0.156,0.153
Arizona State,0.091,0.125,0.238,0.198,0.027,0.104,0.257,0.226,0.203,0.178,0.24,0.188
Arkansas,0.158,0.159,0.138,0.141,0.21,0.212,0.246,0.228,0.15,0.151,0.098,0.116
Arkansas State,0.15,0.148,0.248,0.222,0.198,0.213,0.313,0.28,0.119,0.121,0.229,0.197
Army,0.109,0.124,0.295,0.247,0.0,0.139,0.234,0.226,0.162,0.151,0.341,0.243
Auburn,0.167,0.17,0.155,0.136,0.12,0.167,0.168,0.177,0.2,0.177,0.146,0.133
Ball State,0.104,0.118,0.206,0.195,0.044,0.131,0.255,0.249,0.152,0.144,0.161,0.15
Baylor,0.105,0.131,0.307,0.263,0.168,0.195,0.432,0.345,0.101,0.125,0.233,0.191
Boise State,0.267,0.229,0.218,0.187,0.309,0.283,0.3,0.246,0.276,0.211,0.11,0.128
Boston College,0.19,0.188,0.205,0.204,0.14,0.187,0.358,0.302,0.232,0.194,0.129,0.14
Bowling Green,0.13,0.155,0.14,0.161,0.107,0.181,0.138,0.186,0.223,0.193,0.194,0.183
Buffalo,0.028,0.068,0.131,0.15,0.013,0.104,0.119,0.175,0.078,0.106,0.145,0.146
BYU,0.019,0.076,0.212,0.187,-0.019,0.086,0.258,0.235,0.128,0.148,0.188,0.167
California,0.215,0.204,0.25,0.193,0.188,0.221,0.379,0.298,0.254,0.195,0.218,0.168
Central Michigan,0.129,0.158,0.297,0.279,0.077,0.158,0.378,0.332,0.174,0.172,0.222,0.198
Charlotte,0.049,0.081,0.191,0.191,-0.041,0.056,0.238,0.229,0.129,0.149,0.181,0.177
Cincinnati,0.162,0.172,0.289,0.26,0.076,0.144,0.313,0.272,0.243,0.209,0.271,0.224
Clemson,0.147,0.165,0.09,0.115,0.159,0.199,0.019,0.101,0.189,0.174,0.18,0.169
Coastal Carolina,0.197,0.194,0.155,0.174,0.3,0.27,0.099,0.163,0.097,0.129,0.233,0.196
Colorado,0.166,0.176,0.288,0.236,0.272,0.261,0.34,0.287,0.092,0.121,0.238,0.192
Colorado State,0.145,0.137,0.176,0.181,0.246,0.222,0.304,0.272,-0.0,0.065,0.136,0.139
Connecticut,0.028,0.072,0.258,0.235,0.094,0.143,0.409,0.33,0.015,0.08,0.159,0.153
Duke,0.194,0.205,0.159,0.164,0.216,0.24,0.19,0.199,0.18,0.172,0.172,0.171
East Carolina,-0.025,0.055,0.154,0.163,-0.012,0.099,0.314,0.26,-0.041,0.064,0.04,0.095
Eastern Michigan,0.064,0.079,0.177,0.207,0.051,0.115,0.26,0.28,0.115,0.125,0.12,0.14
Florida,0.262,0.246,0.284,0.227,0.374,0.323,0.371,0.296,0.171,0.168,0.208,0.168
Florida Atlantic,0.082,0.101,0.186,0.202,0.071,0.125,0.313,0.295,0.095,0.116,0.093,0.126
Florida International,0.081,0.106,0.214,0.213,0.101,0.15,0.31,0.274,0.098,0.123,0.153,0.158
Florida State,0.288,0.251,0.073,0.104,0.455,0.36,0.048,0.126,0.141,0.147,0.145,0.142
Fresno State,0.188,0.159,0.164,0.175,0.242,0.214,0.232,0.244,0.114,0.121,0.112,0.126
Georgia,0.397,0.323,0.084,0.106,0.533,0.401,0.061,0.128,0.265,0.212,0.123,0.132
Georgia Southern,0.197,0.19,0.242,0.238,0.198,0.213,0.257,0.266,0.208,0.183,0.243,0.2
Georgia State,0.162,0.159,0.253,0.224,0.226,0.229,0.39,0.315,0.161,0.15,0.13,0.146
Georgia Tech,0.244,0.222,0.217,0.21,0.244,0.241,0.167,0.2,0.252,0.203,0.28,0.22
Hawai'i,0.099,0.101,0.269,0.239,0.121,0.14,0.431,0.335,0.056,0.098,0.182,0.162
Houston,0.133,0.138,0.24,0.219,0.184,0.193,0.288,0.27,0.081,0.111,0.204,0.175
Illinois,0.188,0.201,0.197,0.199,0.242,0.249,0.254,0.261,0.158,0.164,0.148,0.147
Indiana,0.091,0.15,0.281,0.249,0.134,0.199,0.382,0.32,0.091,0.135,0.188,0.176
Iowa,-0.035,0.024,-0.015,0.054,0.017,0.103,0.023,0.117,-0.038,0.039,-0.019,0.065
Iowa State,0.142,0.163,0.123,0.135,0.317,0.286,0.17,0.187,-0.044,0.051,0.076,0.111
Jacksonville State,0.116,0.118,0.072,0.113,0.064,0.135,0.233,0.234,0.168,0.15,-0.044,0.053
James Madison,0.228,0.208,0.057,0.098,0.466,0.361,0.126,0.16,-0.007,0.069,-0.055,0.054
Kansas,0.329,0.294,0.198,0.188,0.445,0.349,0.193,0.213,0.257,0.217,0.241,0.201
Kansas State,0.252,0.233,0.106,0.109,0.277,0.259,0.102,0.134,0.242,0.205,0.128,0.131
Kent State,-0.026,0.053,0.308,0.29,-0.024,0.102,0.417,0.351,-0.04,0.053,0.219,0.196
Kentucky,0.201,0.195,0.163,0.164,0.198,0.21,0.246,0.24,0.2,0.179,0.084,0.112
Liberty,0.358,0.3,0.111,0.163,0.571,0.403,0.098,0.178,0.28,0.23,0.123,0.145
Louisiana,0.243,0.219,0.229,0.226,0.31,0.273,0.271,0.262,0.22,0.19,0.236,0.204
Louisiana Monroe,0.024,0.065,0.255,0.225,-0.01,0.085,0.385,0.308,0.081,0.106,0.163,0.151
Louisiana Tech,0.114,0.13,0.259,0.234,0.178,0.2,0.262,0.24,0.063,0.094,0.277,0.227
Louisville,0.226,0.218,0.064,0.104,0.361,0.308,0.135,0.174,0.129,0.143,0.021,0.094
LSU,0.519,0.426,0.292,0.243,0.613,0.466,0.346,0.275,0.427,0.306,0.263,0.211
Marshall,0.098,0.133,0.141,0.152,0.101,0.165,0.174,0.19,0.125,0.149,0.119,0.139
Maryland,0.204,0.219,0.139,0.156,0.244,0.257,0.157,0.193,0.168,0.171,0.123,0.14
Memphis,0.288,0.242,0.196,0.193,0.404,0.329,0.228,0.227,0.138,0.131,0.199,0.178
Miami,0.217,0.219,0.136,0.143,0.286,0.284,0.238,0.223,0.153,0.15,0.01,0.084
Miami (OH),0.152,0.151,0.084,0.129,0.288,0.26,0.09,0.166,0.043,0.083,0.12,0.137
Michigan,0.327,0.291,-0.027,0.055,0.521,0.38,0.014,0.126,0.197,0.191,-0.024,0.061
Michigan State,0.001,0.076,0.177,0.171,0.058,0.146,0.242,0.228,-0.024,0.07,0.144,0.15
Middle Tennessee,0.128,0.144,0.199,0.189,0.193,0.214,0.316,0.284,0.107,0.122,0.11,0.124
Minnesota,0.083,0.128,0.225,0.212,0.089,0.164,0.269,0.253,0.091,0.126,0.183,0.17
Mississippi State,0.06,0.101,0.196,0.162,0.061,0.13,0.322,0.265,0.088,0.12,0.096,0.107
Missouri,0.299,0.258,0.189,0.152,0.463,0.356,0.241,0.211,0.161,0.161,0.136,0.13
Navy,0.047,0.067,0.128,0.151,-0.033,0.118,0.226,0.247,0.106,0.103,0.039,0.087
NC State,0.097,0.137,0.088,0.119,0.103,0.174,0.078,0.143,0.09,0.125,0.118,0.138
Nebraska,0.139,0.15,0.101,0.128,0.101,0.167,0.172,0.202,0.205,0.18,0.035,0.091
Nevada,0.044,0.057,0.244,0.209,0.025,0.089,0.302,0.254,0.101,0.109,0.253,0.207
New Mexico,0.26,0.226,0.319,0.276,0.34,0.284,0.435,0.346,0.226,0.191,0.23,0.186
New Mexico State,0.279,0.228,0.174,0.181,0.293,0.253,0.153,0.185,0.258,0.2,0.205,0.185
North Carolina,0.293,0.258,0.186,0.188,0.35,0.307,0.184,0.202,0.232,0.194,0.217,0.193
Northern Illinois,0.205,0.183,0.129,0.167,0.162,0.179,0.083,0.175,0.249,0.206,0.191,0.178
North Texas,0.257,0.223,0.315,0.288,0.23,0.213,0.301,0.266,0.306,0.236,0.33,0.282
Northwestern,0.092,0.138,0.138,0.167,0.12,0.18,0.146,0.202,0.076,0.118,0.132,0.147
Notre Dame,0.306,0.284,0.046,0.086,0.436,0.359,0.067,0.13,0.188,0.182,0.08,0.112
Ohio,0.163,0.15,0.03,0.11,0.252,0.233,0.131,0.202,0.065,0.094,0.003,0.093
Ohio State,0.308,0.283,-0.033,0.032,0.482,0.389,-0.065,0.065,0.134,0.146,-0.01,0.065
Oklahoma,0.334,0.286,0.064,0.081,0.537,0.416,0.098,0.137,0.171,0.156,0.039,0.076
Oklahoma State,0.17,0.178,0.233,0.195,0.186,0.218,0.33,0.269,0.163,0.154,0.18,0.151
Old Dominion,0.136,0.147,0.139,0.142,0.133,0.181,0.305,0.259,0.171,0.16,0.043,0.083
Ole Miss,0.266,0.246,0.169,0.152,0.426,0.335,0.159,0.166,0.171,0.171,0.208,0.177
Oregon,0.443,0.358,0.069,0.099,0.569,0.428,0.032,0.108,0.334,0.241,0.132,0.138
Oregon State,0.351,0.3,0.121,0.133,0.451,0.359,0.133,0.165,0.282,0.218,0.104,0.127
Penn State,0.196,0.211,-0.032,0.035,0.234,0.255,0.037,0.117,0.163,0.167,-0.025,0.065
Pittsburgh,0.036,0.083,0.13,0.133,0.118,0.165,0.222,0.211,0.027,0.091,0.096,0.108
Purdue,0.135,0.173,0.188,0.195,0.125,0.186,0.285,0.271,0.173,0.183,0.154,0.159
Rice,0.256,0.218,0.148,0.18,0.359,0.283,0.163,0.207,0.179,0.169,0.15,0.166
Rutgers,0.075,0.129,0.125,0.157,0.008,0.133,0.14,0.192,0.116,0.145,0.143,0.158
Sam Houston State,0.094,0.117,0.193,0.195,0.171,0.201,0.264,0.258,0.007,0.074,0.131,0.137
San Diego State,0.102,0.13,0.278,0.256,0.132,0.177,0.295,0.275,0.086,0.118,0.283,0.226
San José State,0.233,0.202,0.26,0.212,0.245,0.236,0.232,0.21,0.243,0.194,0.307,0.225
SMU,0.281,0.23,0.064,0.108,0.408,0.323,0.086,0.149,0.199,0.162,0.067,0.115
South Alabama,0.255,0.222,0.102,0.137,0.315,0.271,0.196,0.222,0.251,0.207,0.032,0.095
South Carolina,0.188,0.2,0.215,0.19,0.283,0.265,0.307,0.265,0.043,0.112,0.146,0.141
Southern Mississippi,0.114,0.13,0.279,0.244,0.045,0.116,0.3,0.255,0.177,0.171,0.275,0.221
