school,rawOffAll,adjOffAll,rawDefAll,adjDefAll,rawOffPass,adjOffPass,rawDefPass,adjDefPass,rawOffRush,adjOffRush,rawDefRush,adjDefRush
Air Force,0.224,0.237,0.185,0.173,0.486,0.39,0.368,0.323,0.168,0.188,0.061,0.065
Akron,0.042,0.078,0.089,0.114,0.104,0.147,0.079,0.129,-0.014,0.034,0.102,0.119
Alabama,0.408,0.442,0.057,-0.013,0.639,0.595,0.055,0.015,0.252,0.271,0.054,0.017
Appalachian State,0.262,0.232,-0.008,-0.003,0.318,0.292,-0.043,0.016,0.242,0.203,0.035,0.035
Arizona,0.218,0.226,0.207,0.181,0.302,0.307,0.281,0.257,0.176,0.163,0.142,0.135
Arizona State,0.224,0.263,0.183,0.178,0.316,0.316,0.277,0.262,0.183,0.217,0.147,0.17
Arkansas,0.104,0.172,0.211,0.147,0.108,0.181,0.307,0.24,0.124,0.172,0.155,0.122
Arkansas State,0.207,0.206,0.14,0.121,0.264,0.258,0.138,0.146,0.172,0.177,0.188,0.161
Army,0.301,0.268,0.161,0.144,0.747,0.452,0.239,0.217,0.256,0.23,0.084,0.081
Auburn,0.168,0.236,0.074,0.028,0.289,0.346,0.136,0.104,0.095,0.123,0.025,0.015
Ball State,0.175,0.188,0.238,0.241,0.17,0.192,0.237,0.27,0.207,0.203,0.256,0.231
Baylor,0.25,0.256,0.264,0.218,0.274,0.257,0.282,0.245,0.237,0.242,0.285,0.244
Boise State,0.267,0.285,0.153,0.135,0.44,0.404,0.173,0.163,0.132,0.163,0.139,0.138
Boston College,0.133,0.159,0.077,0.064,0.27,0.283,0.09,0.108,0.078,0.088,0.092,0.09
Bowling Green,0.134,0.145,0.316,0.289,0.246,0.236,0.22,0.252,0.045,0.074,0.379,0.303
Buffalo,0.207,0.216,0.172,0.199,0.271,0.281,0.169,0.225,0.176,0.172,0.194,0.181
BYU,0.17,0.212,0.108,0.1,0.189,0.235,0.157,0.172,0.17,0.196,0.089,0.086
California,0.041,0.071,0.016,0.013,0.016,0.073,-0.042,-0.012,0.093,0.105,0.09,0.113
Central Michigan,-0.024,0.023,0.101,0.135,-0.084,0.018,0.055,0.137,0.04,0.074,0.151,0.161
Charlotte,0.128,0.164,0.12,0.145,0.16,0.211,0.265,0.277,0.099,0.123,0.016,0.061
Cincinnati,0.261,0.23,0.019,0.019,0.32,0.27,0.047,0.082,0.24,0.213,0.002,0.003
Clemson,0.368,0.39,-0.034,-0.058,0.369,0.383,0.028,0.025,0.4,0.379,-0.048,-0.047
Coastal Carolina,0.225,0.215,0.34,0.289,0.276,0.259,0.358,0.276,0.231,0.214,0.345,0.299
Colorado,0.113,0.143,0.142,0.119,0.186,0.237,0.239,0.23,0.047,0.055,0.054,0.052
Colorado State,0.143,0.182,0.284,0.258,0.244,0.258,0.419,0.347,0.026,0.08,0.214,0.206
Connecticut,0.154,0.175,0.517,0.452,0.117,0.165,0.696,0.555,0.189,0.196,0.441,0.377
Duke,0.143,0.189,0.166,0.128,0.149,0.208,0.127,0.135,0.158,0.175,0.199,0.137
East Carolina,0.084,0.09,0.216,0.179,0.108,0.13,0.362,0.318,0.056,0.056,0.115,0.089
Eastern Michigan,0.137,0.145,0.108,0.12,0.296,0.28,0.049,0.136,0.033,0.062,0.174,0.152
Florida,0.253,0.307,0.089,0.06,0.299,0.327,0.036,0.042,0.278,0.287,0.155,0.143
Florida Atlantic,0.223,0.233,0.18,0.143,0.233,0.249,0.29,0.251,0.241,0.224,0.104,0.079
Florida International,0.277,0.255,0.187,0.206,0.453,0.376,0.146,0.202,0.161,0.163,0.229,0.225
Florida State,0.101,0.167,0.089,0.071,0.221,0.276,0.201,0.215,-0.023,0.052,0.044,0.034
Fresno State,0.253,0.242,0.04,0.043,0.384,0.346,0.038,0.082,0.161,0.152,0.047,0.051
Georgia,0.356,0.395,0.072,0.022,0.529,0.504,0.111,0.059,0.283,0.292,0.135,0.114
Georgia Southern,0.209,0.219,0.163,0.158,0.312,0.277,0.219,0.215,0.2,0.194,0.136,0.129
Georgia State,0.207,0.208,0.399,0.342,0.284,0.266,0.583,0.451,0.175,0.183,0.307,0.257
Georgia Tech,0.278,0.288,0.242,0.197,0.16,0.226,0.318,0.3,0.328,0.301,0.225,0.159
Hawai'i,0.219,0.22,0.255,0.255,0.309,0.292,0.396,0.369,0.117,0.133,0.181,0.175
Houston,0.316,0.303,0.231,0.23,0.397,0.355,0.274,0.271,0.263,0.257,0.211,0.202
Illinois,0.172,0.211,0.345,0.317,0.037,0.119,0.379,0.393,0.307,0.296,0.351,0.274
Indiana,0.141,0.199,0.232,0.195,0.17,0.239,0.329,0.297,0.121,0.143,0.173,0.147
Iowa,0.196,0.22,0.025,0.017,0.354,0.351,-0.014,0.059,0.066,0.09,0.092,0.052
Iowa State,0.194,0.22,0.133,0.097,0.341,0.333,0.224,0.189,0.088,0.116,0.045,0.054
Kansas,0.124,0.157,0.218,0.179,0.162,0.186,0.276,0.237,0.113,0.141,0.19,0.163
Kansas State,0.121,0.163,0.185,0.147,0.1,0.147,0.259,0.232,0.169,0.202,0.147,0.123
Kent State,0.125,0.121,0.219,0.195,0.019,0.078,0.258,0.242,0.242,0.193,0.218,0.182
Kentucky,0.175,0.228,0.113,0.073,0.134,0.209,0.111,0.116,0.219,0.225,0.175,0.133
Liberty,0.147,0.142,0.223,0.22,0.216,0.21,0.21,0.231,0.1,0.105,0.26,0.242
Louisiana,0.255,0.286,0.311,0.282,0.313,0.334,0.389,0.356,0.242,0.253,0.276,0.237
