school,rawOffAll,adjOffAll,rawDefAll,adjDefAll,rawOffPass,adjOffPass,rawDefPass,adjDefPass,rawOffRush,adjOffRush,rawDefRush,adjDefRush
Louisiana Monroe,0.222,0.214,0.25,0.208,0.208,0.199,0.374,0.305,0.25,0.234,0.152,0.131
Louisiana Tech,0.131,0.157,0.113,0.134,0.179,0.193,0.087,0.134,0.117,0.161,0.156,0.168
Louisville,0.076,0.149,0.353,0.298,0.037,0.129,0.444,0.35,0.155,0.186,0.319,0.272
LSU,0.162,0.238,0.086,0.023,0.232,0.294,0.087,0.056,0.128,0.178,0.096,0.061
Marshall,0.133,0.144,0.082,0.094,0.129,0.144,0.139,0.16,0.157,0.171,0.049,0.072
Maryland,0.189,0.218,0.124,0.109,0.112,0.181,0.131,0.143,0.284,0.262,0.139,0.135
Memphis,0.312,0.278,0.181,0.162,0.375,0.306,0.245,0.237,0.308,0.28,0.143,0.116
Miami,0.152,0.179,-0.006,-0.006,0.089,0.153,0.002,0.06,0.231,0.218,0.008,0.001
Miami (OH),0.166,0.176,0.175,0.17,0.272,0.275,0.194,0.233,0.111,0.116,0.173,0.139
Michigan,0.238,0.281,0.012,0.013,0.371,0.38,-0.058,0.02,0.188,0.216,0.081,0.074
Michigan State,0.029,0.094,0.035,0.019,0.046,0.123,0.155,0.156,0.051,0.088,-0.108,-0.076
Middle Tennessee,0.126,0.178,0.144,0.13,0.198,0.244,0.146,0.167,0.098,0.134,0.153,0.127
Minnesota,0.181,0.204,0.197,0.16,0.192,0.22,0.193,0.194,0.188,0.188,0.229,0.179
Mississippi State,0.237,0.282,-0.047,-0.075,0.175,0.24,-0.019,-0.011,0.309,0.308,-0.067,-0.059
Missouri,0.231,0.271,0.118,0.049,0.421,0.419,0.256,0.195,0.146,0.167,0.003,-0.014
Navy,0.164,0.191,0.303,0.25,-0.03,0.102,0.466,0.377,0.223,0.238,0.196,0.158
NC State,0.225,0.246,0.192,0.169,0.427,0.392,0.245,0.237,0.052,0.1,0.153,0.129
Nebraska,0.233,0.268,0.173,0.152,0.195,0.227,0.116,0.137,0.315,0.313,0.256,0.22
Nevada,0.17,0.151,0.101,0.093,0.228,0.207,0.194,0.179,0.142,0.126,0.033,0.051
New Mexico,0.1,0.119,0.269,0.236,0.186,0.208,0.35,0.314,0.065,0.092,0.252,0.215
New Mexico State,0.063,0.085,0.22,0.213,0.038,0.092,0.257,0.249,0.136,0.134,0.206,0.191
North Carolina,0.139,0.186,0.217,0.201,0.115,0.19,0.237,0.249,0.199,0.206,0.218,0.184
Northern Illinois,0.059,0.111,0.079,0.083,-0.017,0.078,0.212,0.209,0.143,0.163,-0.033,0.0
North Texas,0.2,0.203,0.096,0.125,0.316,0.288,0.148,0.191,0.105,0.129,0.062,0.088
Northwestern,0.062,0.13,0.116,0.098,0.119,0.202,0.256,0.247,0.014,0.062,0.023,0.027
Notre Dame,0.218,0.25,0.079,0.05,0.35,0.351,0.064,0.071,0.123,0.149,0.104,0.081
Ohio,0.341,0.325,0.231,0.244,0.298,0.29,0.32,0.322,0.401,0.358,0.173,0.178
Ohio State,0.294,0.327,0.127,0.124,0.485,0.477,0.12,0.158,0.112,0.137,0.228,0.189
Oklahoma,0.496,0.498,0.284,0.217,0.686,0.595,0.411,0.325,0.377,0.38,0.207,0.172
Oklahoma State,0.277,0.286,0.226,0.176,0.334,0.304,0.31,0.235,0.244,0.248,0.169,0.159
Old Dominion,0.157,0.151,0.215,0.231,0.192,0.182,0.269,0.285,0.136,0.138,0.181,0.196
Ole Miss,0.303,0.332,0.234,0.178,0.41,0.4,0.267,0.233,0.222,0.245,0.225,0.181
Oregon,0.228,0.228,0.105,0.113,0.301,0.301,0.22,0.217,0.173,0.145,0.038,0.078
Oregon State,0.15,0.192,0.409,0.348,0.206,0.248,0.417,0.324,0.156,0.168,0.44,0.402
Penn State,0.212,0.26,0.067,0.06,0.111,0.188,0.021,0.086,0.332,0.32,0.14,0.1
Pittsburgh,0.204,0.256,0.166,0.117,0.042,0.147,0.141,0.144,0.308,0.314,0.211,0.145
Purdue,0.208,0.256,0.205,0.174,0.264,0.29,0.28,0.237,0.157,0.173,0.17,0.161
Rice,0.053,0.078,0.336,0.317,0.141,0.175,0.49,0.426,-0.001,0.028,0.201,0.194
Rutgers,-0.02,0.039,0.182,0.162,-0.123,-0.031,0.214,0.226,0.08,0.122,0.176,0.145
San Diego State,0.146,0.146,0.124,0.111,0.279,0.244,0.281,0.234,0.069,0.089,0.011,0.043
San José State,0.009,0.051,0.237,0.201,0.112,0.145,0.357,0.308,-0.112,-0.027,0.162,0.15
SMU,0.106,0.12,0.186,0.159,0.21,0.223,0.275,0.251,0.027,0.052,0.139,0.104
South Alabama,0.1,0.128,0.271,0.227,0.222,0.248,0.414,0.348,0.009,0.036,0.197,0.153
South Carolina,0.212,0.262,0.222,0.142,0.363,0.39,0.261,0.192,0.11,0.136,0.214,0.148
Southern Mississippi,0.094,0.119,0.021,0.066,0.177,0.189,0.056,0.134,0.014,0.068,-0.003,0.047
South Florida,0.201,0.178,0.219,0.194,0.2,0.179,0.24,0.242,0.236,0.206,0.224,0.175
Stanford,0.201,0.242,0.167,0.139,0.4,0.411,0.225,0.212,0.02,0.059,0.143,0.132
Syracuse,0.187,0.195,0.147,0.116,0.181,0.194,0.155,0.143,0.219,0.212,0.152,0.124
TCU,0.072,0.103,0.097,0.057,0.151,0.169,0.162,0.13,0.058,0.085,0.065,0.063
Temple,0.185,0.199,0.104,0.092,0.263,0.276,0.072,0.106,0.137,0.142,0.146,0.119
Tennessee,0.131,0.196,0.182,0.117,0.328,0.347,0.251,0.187,-0.006,0.053,0.153,0.122
Texas,0.226,0.249,0.18,0.113,0.342,0.328,0.289,0.22,0.144,0.161,0.099,0.06
Texas A&M,0.242,0.309,0.166,0.1,0.273,0.346,0.291,0.218,0.231,0.25,0.055,0.038
Texas State,0.086,0.083,0.119,0.143,0.177,0.164,0.153,0.206,0.044,0.056,0.098,0.101
Texas Tech,0.223,0.218,0.196,0.147,0.349,0.31,0.308,0.251,0.084,0.099,0.094,0.073
Toledo,0.219,0.223,0.189,0.217,0.202,0.225,0.17,0.233,0.262,0.243,0.223,0.215
Troy,0.206,0.189,0.135,0.12,0.252,0.253,0.274,0.246,0.189,0.159,0.054,0.053
Tulane,0.142,0.153,0.129,0.11,0.202,0.21,0.193,0.192,0.103,0.113,0.087,0.074
Tulsa,0.126,0.126,0.172,0.159,0.113,0.145,0.175,0.195,0.157,0.145,0.203,0.169
UAB,0.21,0.217,0.013,0.066,0.35,0.323,0.034,0.113,0.149,0.173,0.013,0.059
UCF,0.349,0.34,0.118,0.118,0.419,0.371,0.138,0.176,0.318,0.305,0.132,0.107
UCLA,0.179,0.239,0.226,0.176,0.206,0.248,0.334,0.255,0.163,0.204,0.171,0.159
UMass,0.234,0.205,0.273,0.24,0.3,0.287,0.347,0.306,0.179,0.134,0.266,0.223
UNLV,0.171,0.197,0.294,0.286,0.121,0.159,0.42,0.364,0.228,0.235,0.205,0.216
USC,0.18,0.204,0.157,0.127,0.253,0.277,0.207,0.184,0.134,0.133,0.112,0.11
Utah,0.151,0.196,0.024,0.016,0.225,0.246,0.09,0.081,0.136,0.173,-0.041,0.0
Utah State,0.329,0.309,0.018,0.046,0.461,0.398,0.029,0.08,0.228,0.215,0.015,0.051
UTEP,0.037,0.067,0.163,0.193,-0.004,0.066,0.204,0.236,0.104,0.127,0.167,0.189
UT San Antonio,-0.022,0.023,0.233,0.235,-0.051,0.033,0.475,0.428,0.009,0.053,0.061,0.081
Vanderbilt,0.241,0.287,0.257,0.188,0.3,0.331,0.318,0.242,0.196,0.21,0.241,0.194
Virginia,0.204,0.199,0.115,0.092,0.275,0.267,0.127,0.149,0.183,0.158,0.113,0.083
Virginia Tech,0.192,0.243,0.252,0.234,0.241,0.292,0.293,0.285,0.155,0.184,0.266,0.222
Wake Forest,0.168,0.212,0.208,0.186,0.217,0.253,0.219,0.211,0.153,0.182,0.213,0.185
Washington,0.211,0.254,0.068,0.052,0.336,0.351,0.121,0.105,0.13,0.153,0.017,0.045
Washington State,0.277,0.304,0.164,0.167,0.308,0.327,0.132,0.147,0.227,0.228,0.241,0.239
Western Kentucky,0.102,0.119,0.146,0.153,0.124,0.155,0.191,0.226,0.104,0.107,0.142,0.128
Western Michigan,0.199,0.197,0.263,0.258,0.236,0.245,0.423,0.383,0.18,0.164,0.17,0.152
West Virginia,0.296,0.3,0.188,0.145,0.458,0.412,0.316,0.266,0.15,0.164,0.09,0.085
Wisconsin,0.269,0.294,0.119,0.116,0.211,0.246,0.164,0.21,0.322,0.307,0.114,0.098
Wyoming,0.118,0.143,0.101,0.079,0.077,0.134,0.17,0.136,0.167,0.173,0.061,0.081
