school,rawOffAll,adjOffAll,rawDefAll,adjDefAll,rawOffPass,adjOffPass,rawDefPass,adjDefPass,rawOffRush,adjOffRush,rawDefRush,adjDefRush
Utah,0.161,0.16,0.092,0.136,0.169,0.199,0.161,0.207,0.162,0.147,0.086,0.123
Utah State,0.034,0.106,0.31,0.266,-0.066,0.106,0.4,0.318,0.15,0.157,0.27,0.217
UTEP,0.163,0.145,0.223,0.221,0.305,0.272,0.368,0.316,0.059,0.05,0.105,0.129
UT San Antonio,0.195,0.185,0.185,0.181,0.179,0.2,0.21,0.216,0.215,0.183,0.181,0.167
Vanderbilt,0.048,0.093,0.368,0.314,0.096,0.156,0.448,0.37,0.018,0.068,0.278,0.232
Virginia,0.196,0.195,0.185,0.158,0.185,0.205,0.312,0.265,0.21,0.193,0.064,0.073
Virginia Tech,0.272,0.265,0.278,0.23,0.307,0.288,0.281,0.25,0.265,0.255,0.289,0.228
Wake Forest,0.217,0.225,0.203,0.173,0.369,0.33,0.231,0.224,0.09,0.122,0.181,0.142
Washington,0.269,0.208,0.201,0.203,0.425,0.288,0.185,0.246,0.155,0.133,0.222,0.17
Washington State,0.171,0.188,0.381,0.278,0.12,0.197,0.467,0.331,0.283,0.204,0.315,0.213
Western Kentucky,0.067,0.108,0.141,0.141,0.044,0.123,0.135,0.162,0.107,0.129,0.172,0.151
Western Michigan,0.38,0.306,0.229,0.222,0.636,0.413,0.312,0.282,0.223,0.196,0.187,0.181
West Virginia,0.143,0.161,0.066,0.105,0.222,0.234,0.102,0.177,0.069,0.094,0.043,0.066
Wisconsin,0.109,0.142,0.039,0.096,0.109,0.199,0.2,0.208,0.157,0.137,-0.145,-0.004
Wyoming,0.156,0.162,0.066,0.114,0.054,0.163,0.125,0.178,0.225,0.181,0.026,0.082
