school,rawOffAll,adjOffAll,rawDefAll,adjDefAll,rawOffPass,adjOffPass,rawDefPass,adjDefPass,rawOffRush,adjOffRush,rawDefRush,adjDefRush
Air Force,0.332,0.268,0.122,0.167,0.447,0.292,0.192,0.242,0.314,0.264,0.079,0.111
Akron,0.008,0.076,0.416,0.294,-0.151,0.063,0.482,0.327,0.184,0.149,0.387,0.262
Alabama,0.45,0.399,0.083,0.084,0.654,0.529,0.088,0.114,0.249,0.232,0.102,0.099
Appalachian State,0.251,0.23,0.081,0.097,0.277,0.269,-0.005,0.073,0.246,0.205,0.185,0.166
Arizona,0.071,0.126,0.278,0.235,0.016,0.141,0.474,0.317,0.143,0.149,0.173,0.168
Arizona State,0.304,0.244,0.188,0.188,0.288,0.26,0.153,0.196,0.3,0.22,0.239,0.191
Arkansas,0.219,0.214,0.175,0.154,0.342,0.308,0.2,0.187,0.122,0.132,0.159,0.152
Arkansas State,0.251,0.241,0.215,0.211,0.422,0.385,0.406,0.358,0.053,0.075,0.055,0.087
Army,0.193,0.192,0.051,0.102,0.118,0.217,0.155,0.21,0.211,0.199,-0.039,0.011
Auburn,0.187,0.203,0.212,0.201,0.184,0.228,0.289,0.274,0.188,0.177,0.14,0.134
Ball State,0.202,0.202,0.137,0.129,0.33,0.289,0.222,0.199,0.109,0.129,0.101,0.114
Baylor,0.055,0.12,0.152,0.155,0.108,0.183,0.17,0.197,0.001,0.067,0.145,0.137
Boise State,0.184,0.199,0.181,0.173,0.328,0.291,0.26,0.245,0.051,0.11,0.132,0.118
Boston College,0.217,0.222,0.26,0.223,0.348,0.313,0.35,0.313,0.064,0.112,0.237,0.174
Bowling Green,0.044,0.104,0.353,0.258,-0.108,0.111,0.303,0.245,0.174,0.146,0.399,0.279
Buffalo,0.375,0.303,0.115,0.148,0.428,0.325,0.06,0.159,0.379,0.285,0.169,0.162
BYU,0.422,0.373,0.084,0.119,0.57,0.468,0.197,0.228,0.284,0.247,-0.012,0.036
California,0.064,0.109,0.18,0.159,0.037,0.15,0.314,0.251,0.096,0.111,0.076,0.094
Central Michigan,0.171,0.178,0.176,0.164,0.158,0.202,0.349,0.272,0.204,0.181,0.032,0.084
Charlotte,0.133,0.155,0.247,0.234,0.22,0.256,0.284,0.266,0.098,0.097,0.238,0.206
Cincinnati,0.311,0.279,0.015,0.057,0.383,0.318,-0.021,0.067,0.264,0.245,0.065,0.09
Clemson,0.31,0.298,0.074,0.089,0.392,0.352,0.161,0.178,0.26,0.246,0.043,0.055
Coastal Carolina,0.347,0.319,0.152,0.149,0.586,0.456,0.083,0.129,0.214,0.207,0.239,0.2
Colorado,0.124,0.162,0.128,0.151,0.183,0.224,0.158,0.195,0.092,0.119,0.09,0.113
Colorado State,0.019,0.129,0.135,0.167,0.097,0.216,0.317,0.276,-0.046,0.065,-0.02,0.071
Connecticut,,,,,,,,,,,,
Duke,0.113,0.138,0.274,0.236,0.104,0.156,0.222,0.228,0.136,0.146,0.327,0.242
East Carolina,0.103,0.144,0.228,0.204,0.131,0.181,0.255,0.234,0.084,0.125,0.22,0.191
Eastern Michigan,0.24,0.225,0.301,0.237,0.35,0.296,0.338,0.263,0.147,0.153,0.289,0.233
Florida,0.335,0.304,0.253,0.217,0.462,0.404,0.283,0.243,0.162,0.155,0.227,0.199
Florida Atlantic,0.111,0.134,0.089,0.145,0.064,0.149,0.102,0.195,0.139,0.139,0.078,0.108
Florida International,0.024,0.103,0.198,0.205,-0.155,0.09,0.235,0.247,0.224,0.18,0.176,0.17
Florida State,0.164,0.185,0.268,0.228,-0.046,0.075,0.334,0.283,0.385,0.323,0.215,0.175
Fresno State,0.238,0.206,0.22,0.219,0.288,0.263,0.148,0.209,0.177,0.152,0.303,0.234
Georgia,0.227,0.235,0.114,0.113,0.264,0.284,0.179,0.187,0.211,0.198,0.037,0.063
Georgia Southern,0.202,0.201,0.107,0.135,0.095,0.189,0.132,0.186,0.249,0.22,0.077,0.093
Georgia State,0.187,0.203,0.149,0.158,0.23,0.255,0.207,0.217,0.186,0.178,0.103,0.117
Georgia Tech,0.167,0.183,0.229,0.209,0.111,0.159,0.315,0.292,0.236,0.23,0.176,0.157
Hawai'i,0.214,0.211,0.178,0.188,0.196,0.227,0.148,0.198,0.254,0.21,0.211,0.2
Houston,0.174,0.189,0.213,0.183,0.208,0.222,0.286,0.252,0.135,0.16,0.164,0.133
Illinois,0.13,0.169,0.316,0.287,0.099,0.179,0.421,0.345,0.177,0.188,0.283,0.25
Indiana,0.114,0.128,0.128,0.141,0.212,0.213,0.137,0.17,0.003,0.054,0.128,0.132
Iowa,0.18,0.194,0.039,0.1,0.183,0.215,0.095,0.159,0.17,0.178,0.035,0.09
Iowa State,0.263,0.271,0.11,0.117,0.351,0.345,0.206,0.213,0.206,0.201,-0.006,0.032
Kansas,-0.04,0.056,0.282,0.238,-0.063,0.086,0.282,0.24,-0.002,0.065,0.299,0.247
Kansas State,0.143,0.18,0.234,0.216,0.218,0.24,0.279,0.261,0.095,0.137,0.194,0.182
Kent State,0.473,0.325,0.274,0.234,0.628,0.397,0.151,0.223,0.397,0.242,0.372,0.241
Kentucky,0.134,0.141,0.158,0.159,0.028,0.117,0.198,0.214,0.214,0.191,0.125,0.132
Liberty,0.33,0.277,0.16,0.199,0.372,0.31,0.186,0.235,0.312,0.245,0.145,0.164
Louisiana,0.257,0.252,0.121,0.124,0.275,0.267,0.022,0.083,0.246,0.227,0.2,0.183
Louisiana Monroe,0.039,0.095,0.35,0.296,0.083,0.144,0.498,0.362,-0.022,0.065,0.29,0.244
Louisiana Tech,0.081,0.108,0.231,0.2,0.072,0.128,0.247,0.222,0.104,0.119,0.221,0.188
Louisville,0.277,0.262,0.159,0.166,0.298,0.28,0.216,0.242,0.27,0.244,0.13,0.115
LSU,0.168,0.162,0.28,0.233,0.27,0.261,0.336,0.283,0.046,0.058,0.238,0.202
Marshall,0.186,0.183,0.066,0.119,0.17,0.211,0.141,0.203,0.194,0.156,-0.014,0.054
Maryland,0.16,0.18,0.216,0.224,0.202,0.241,0.191,0.22,0.123,0.135,0.239,0.229
Memphis,0.208,0.198,0.219,0.214,0.351,0.302,0.293,0.279,0.058,0.09,0.156,0.15
Miami,0.251,0.254,0.193,0.168,0.343,0.322,0.198,0.206,0.159,0.172,0.194,0.144
Miami (OH),0.198,0.188,0.154,0.169,0.394,0.281,0.337,0.275,0.031,0.104,0.031,0.087
Michigan,0.222,0.219,0.226,0.243,0.318,0.286,0.346,0.31,0.094,0.133,0.168,0.191
Michigan State,0.01,0.091,0.127,0.149,0.151,0.204,0.242,0.239,-0.119,0.004,0.025,0.076
Middle Tennessee,0.155,0.185,0.254,0.251,0.246,0.269,0.267,0.272,0.07,0.106,0.264,0.236
Minnesota,0.231,0.216,0.33,0.28,0.296,0.261,0.309,0.279,0.226,0.204,0.384,0.285
Mississippi State,0.053,0.092,0.125,0.126,0.041,0.098,0.176,0.175,0.097,0.128,0.078,0.101
Missouri,0.191,0.194,0.272,0.243,0.323,0.299,0.337,0.29,0.067,0.096,0.215,0.193
Navy,0.093,0.13,0.236,0.21,0.173,0.212,0.326,0.286,0.087,0.13,0.206,0.172
NC State,0.172,0.178,0.159,0.158,0.3,0.287,0.244,0.259,0.059,0.085,0.087,0.069
Nebraska,0.191,0.196,0.192,0.185,0.144,0.196,0.274,0.252,0.273,0.237,0.14,0.132
Nevada,0.279,0.254,0.142,0.17,0.37,0.334,0.179,0.234,0.171,0.158,0.106,0.112
New Mexico,0.113,0.141,0.301,0.254,0.038,0.14,0.381,0.315,0.191,0.175,0.208,0.165
New Mexico State,,,,,,,,,,,,
North Carolina,0.397,0.35,0.204,0.197,0.482,0.397,0.228,0.229,0.345,0.297,0.183,0.158
Northern Illinois,0.111,0.15,0.264,0.207,0.15,0.2,0.434,0.296,0.106,0.126,0.154,0.145
North Texas,0.291,0.248,0.337,0.309,0.368,0.308,0.362,0.31,0.23,0.194,0.322,0.297
Northwestern,0.141,0.159,0.032,0.079,0.314,0.278,-0.041,0.07,0.031,0.077,0.146,0.14
Notre Dame,0.25,0.254,0.114,0.113,0.337,0.319,0.17,0.186,0.209,0.207,0.062,0.057
Ohio,0.228,0.185,0.116,0.187,0.161,0.214,0.077,0.227,0.272,0.173,0.149,0.147
Ohio State,0.35,0.338,0.209,0.198,0.395,0.355,0.327,0.275,0.344,0.312,0.048,0.098
Oklahoma,0.333,0.312,0.093,0.111,0.498,0.41,0.075,0.126,0.185,0.197,0.134,0.136
Oklahoma State,0.145,0.184,0.112,0.124,0.241,0.266,0.159,0.185,0.087,0.127,0.114,0.12
Old Dominion,,,,,,,,,,,,
Ole Miss,0.285,0.269,0.359,0.311,0.375,0.336,0.345,0.307,0.216,0.198,0.375,0.309
Oregon,0.335,0.271,0.188,0.175,0.457,0.344,0.234,0.223,0.243,0.198,0.143,0.133
Oregon State,0.244,0.213,0.276,0.243,0.174,0.192,0.318,0.29,0.327,0.249,0.264,0.213
Penn State,0.197,0.192,0.115,0.145,0.29,0.269,0.187,0.223,0.115,0.124,0.055,0.08
Pittsburgh,0.126,0.141,0.106,0.108,0.218,0.222,0.173,0.192,0.087,0.108,0.029,0.042
Purdue,0.193,0.191,0.186,0.204,0.293,0.279,0.41,0.347,0.002,0.066,0.034,0.074
Rice,0.141,0.15,0.087,0.127,0.391,0.303,0.131,0.191,-0.029,0.038,0.043,0.097
Rutgers,0.074,0.099,0.218,0.213,0.113,0.149,0.325,0.288,0.059,0.097,0.144,0.152
San Diego State,0.085,0.117,0.003,0.058,0.111,0.177,-0.001,0.089,0.081,0.101,0.038,0.089
San José State,0.197,0.2,0.16,0.168,0.353,0.316,0.199,0.222,0.014,0.065,0.12,0.121
SMU,0.276,0.253,0.219,0.222,0.342,0.313,0.302,0.286,0.204,0.18,0.155,0.162
South Alabama,0.115,0.141,0.218,0.204,0.217,0.234,0.363,0.32,0.007,0.051,0.102,0.107
South Carolina,0.171,0.163,0.312,0.273,0.122,0.156,0.424,0.346,0.236,0.201,0.239,0.214
Southern Mississippi,0.187,0.181,0.236,0.243,0.216,0.219,0.319,0.312,0.177,0.163,0.191,0.183
South Florida,0.083,0.135,0.219,0.2,0.031,0.128,0.281,0.24,0.149,0.169,0.174,0.17
Stanford,0.28,0.256,0.352,0.278,0.345,0.314,0.428,0.317,0.215,0.188,0.309,0.238
Syracuse,-0.026,0.048,0.21,0.179,0.015,0.097,0.259,0.227,-0.063,0.035,0.196,0.163
TCU,0.182,0.206,0.098,0.133,0.098,0.173,0.191,0.224,0.259,0.241,0.037,0.083
Temple,0.096,0.118,0.321,0.273,0.201,0.205,0.466,0.349,-0.011,0.05,0.242,0.202
Tennessee,0.127,0.142,0.199,0.172,0.123,0.168,0.339,0.272,0.144,0.143,0.082,0.09
Texas,0.253,0.263,0.129,0.14,0.32,0.311,0.234,0.233,0.209,0.215,0.051,0.081
Texas A&M,0.292,0.262,0.129,0.128,0.376,0.326,0.217,0.208,0.234,0.207,0.033,0.071
Texas State,0.14,0.163,0.285,0.241,0.123,0.169,0.39,0.314,0.171,0.166,0.212,0.187
Texas Tech,0.186,0.197,0.214,0.201,0.177,0.203,0.3,0.268,0.231,0.212,0.155,0.157
Toledo,0.272,0.234,0.127,0.15,0.467,0.355,0.206,0.217,0.078,0.088,0.046,0.091
Troy,0.166,0.165,0.149,0.134,0.224,0.226,0.234,0.199,0.09,0.096,0.092,0.099
Tulane,0.19,0.187,0.161,0.164,0.092,0.13,0.318,0.279,0.279,0.262,0.022,0.06
Tulsa,0.129,0.161,0.039,0.077,0.207,0.229,0.094,0.155,0.057,0.1,-0.002,0.028
UAB,0.198,0.211,0.066,0.119,0.362,0.324,0.038,0.142,0.087,0.116,0.101,0.126
UCF,0.315,0.305,0.231,0.216,0.444,0.393,0.378,0.333,0.202,0.212,0.123,0.122
UCLA,0.256,0.23,0.16,0.17,0.386,0.318,0.163,0.194,0.179,0.169,0.147,0.153
UMass,-0.088,0.086,0.354,0.265,-0.044,0.165,0.311,0.269,-0.159,0.044,0.366,0.24
UNLV,0.136,0.178,0.352,0.291,0.073,0.182,0.258,0.244,0.211,0.189,0.43,0.32
USC,0.177,0.18,0.172,0.172,0.367,0.317,0.228,0.241,-0.049,0.041,0.136,0.126
