school,rawOffAll,adjOffAll,rawDefAll,adjDefAll,rawOffPass,adjOffPass,rawDefPass,adjDefPass,rawOffRush,adjOffRush,rawDefRush,adjDefRush
Air Force,0.254,0.214,0.194,0.186,0.43,0.317,0.291,0.284,0.237,0.204,0.103,0.098
Akron,0.09,0.095,0.094,0.117,0.194,0.199,0.189,0.208,0.033,0.048,0.003,0.056
Alabama,0.174,0.219,-0.022,-0.025,0.289,0.312,0.019,0.012,0.131,0.161,-0.063,-0.007
Appalachian State,0.246,0.209,0.022,0.073,0.43,0.346,0.05,0.119,0.186,0.161,0.032,0.071
Arizona,0.212,0.215,0.254,0.236,0.236,0.24,0.37,0.332,0.213,0.19,0.179,0.164
Arizona State,0.16,0.181,0.21,0.181,0.257,0.277,0.302,0.273,0.125,0.125,0.117,0.106
Arkansas,0.306,0.309,0.233,0.191,0.531,0.48,0.375,0.308,0.162,0.165,0.106,0.096
Arkansas State,0.142,0.128,0.137,0.162,0.157,0.158,0.174,0.202,0.177,0.164,0.117,0.136
Army,0.166,0.123,0.212,0.22,0.412,0.265,0.404,0.37,0.162,0.141,0.108,0.119
Auburn,0.178,0.198,0.156,0.119,0.247,0.26,0.113,0.11,0.161,0.167,0.216,0.169
Ball State,0.076,0.1,0.317,0.285,0.12,0.166,0.472,0.398,0.075,0.083,0.212,0.192
Baylor,0.359,0.306,0.143,0.121,0.501,0.405,0.258,0.225,0.304,0.237,0.053,0.056
Boise State,0.176,0.154,0.046,0.078,0.246,0.209,0.105,0.145,0.143,0.136,0.032,0.062
Boston College,-0.059,0.012,-0.034,-0.005,-0.065,0.052,0.099,0.125,-0.03,0.045,-0.16,-0.073
Bowling Green,0.347,0.322,0.141,0.149,0.411,0.369,0.157,0.189,0.279,0.25,0.15,0.134
Buffalo,0.114,0.128,0.112,0.145,0.199,0.207,0.083,0.145,0.045,0.077,0.167,0.179
BYU,0.166,0.188,0.091,0.116,0.196,0.238,0.123,0.166,0.158,0.153,0.082,0.105
California,0.293,0.296,0.236,0.193,0.408,0.393,0.308,0.269,0.164,0.166,0.202,0.152
Central Michigan,0.162,0.149,0.15,0.149,0.307,0.284,0.34,0.288,-0.008,0.026,0.04,0.083
Charlotte,-0.031,-0.003,0.191,0.206,-0.148,-0.034,0.271,0.266,0.07,0.07,0.153,0.173
Cincinnati,0.224,0.223,0.197,0.194,0.292,0.298,0.235,0.212,0.175,0.168,0.192,0.194
Clemson,0.274,0.288,0.01,0.011,0.409,0.398,-0.01,0.02,0.199,0.195,0.041,0.052
Colorado,0.123,0.132,0.186,0.156,0.182,0.201,0.174,0.174,0.096,0.099,0.241,0.184
Colorado State,0.168,0.146,0.21,0.225,0.239,0.223,0.201,0.233,0.15,0.129,0.251,0.228
Connecticut,0.051,0.075,0.086,0.11,0.104,0.143,0.147,0.176,0.023,0.063,0.072,0.085
Duke,0.112,0.123,0.171,0.185,0.162,0.174,0.325,0.299,0.069,0.09,0.059,0.088
East Carolina,0.16,0.157,0.159,0.152,0.256,0.253,0.181,0.19,0.048,0.072,0.166,0.142
