school,rawOffAll,adjOffAll,rawDefAll,adjDefAll,rawOffPass,adjOffPass,rawDefPass,adjDefPass,rawOffRush,adjOffRush,rawDefRush,adjDefRush
Eastern Michigan,0.161,0.151,0.361,0.338,0.182,0.16,0.309,0.28,0.152,0.152,0.403,0.349
Florida,0.13,0.165,0.035,0.056,0.182,0.226,0.082,0.124,0.121,0.138,0.062,0.073
Florida Atlantic,0.064,0.059,0.143,0.164,0.07,0.106,0.18,0.198,0.099,0.082,0.156,0.178
Florida International,0.105,0.103,0.189,0.219,0.144,0.16,0.205,0.246,0.085,0.089,0.221,0.219
Florida State,0.206,0.21,0.091,0.102,0.346,0.313,0.113,0.148,0.131,0.147,0.085,0.089
Fresno State,-0.029,0.009,0.283,0.257,-0.073,0.013,0.275,0.257,0.042,0.072,0.297,0.251
Georgia,0.148,0.186,0.015,0.054,0.254,0.277,0.062,0.144,0.089,0.118,0.008,0.03
Georgia Southern,0.245,0.204,0.155,0.161,-0.108,0.067,0.25,0.249,0.333,0.281,0.096,0.112
Georgia State,0.164,0.119,0.111,0.143,0.361,0.287,0.131,0.207,-0.081,-0.035,0.124,0.111
Georgia Tech,0.181,0.185,0.164,0.142,0.209,0.221,0.269,0.222,0.201,0.185,0.133,0.132
Hawai'i,0.021,0.047,0.22,0.226,-0.027,0.049,0.36,0.343,0.072,0.093,0.162,0.154
Houston,0.247,0.213,0.121,0.141,0.389,0.321,0.171,0.194,0.173,0.159,0.069,0.099
Idaho,0.124,0.124,0.341,0.309,0.139,0.163,0.376,0.343,0.154,0.141,0.356,0.273
Illinois,0.058,0.104,0.091,0.105,0.069,0.158,0.107,0.141,0.063,0.086,0.068,0.087
Indiana,0.212,0.211,0.216,0.211,0.385,0.346,0.238,0.24,0.118,0.131,0.251,0.216
Iowa,0.205,0.203,0.073,0.098,0.302,0.289,0.056,0.113,0.143,0.144,0.117,0.123
Iowa State,0.144,0.167,0.264,0.204,0.125,0.186,0.387,0.301,0.198,0.178,0.172,0.141
Kansas,-0.027,0.009,0.327,0.252,0.039,0.081,0.371,0.287,-0.073,-0.002,0.313,0.243
Kansas State,0.136,0.138,0.255,0.203,0.121,0.147,0.349,0.28,0.169,0.157,0.203,0.159
Kent State,-0.094,-0.003,0.134,0.144,-0.058,0.085,0.214,0.219,-0.117,-0.017,0.08,0.111
Kentucky,0.137,0.165,0.141,0.163,0.058,0.123,0.197,0.241,0.242,0.223,0.157,0.152
Louisiana,0.115,0.103,0.219,0.236,0.119,0.124,0.37,0.358,0.132,0.129,0.11,0.13
Louisiana Monroe,0.025,0.033,0.175,0.178,0.098,0.107,0.313,0.302,-0.049,0.01,0.117,0.1
Louisiana Tech,0.263,0.215,0.128,0.143,0.353,0.298,0.223,0.227,0.198,0.158,0.044,0.083
Louisville,0.162,0.191,0.123,0.125,0.158,0.202,0.233,0.236,0.211,0.206,0.043,0.058
LSU,0.281,0.252,0.12,0.078,0.331,0.299,0.127,0.095,0.302,0.236,0.156,0.133
Marshall,0.119,0.112,0.032,0.086,0.16,0.177,-0.045,0.048,0.103,0.088,0.133,0.158
Maryland,0.056,0.107,0.175,0.139,-0.061,0.058,0.292,0.234,0.193,0.188,0.065,0.065
Memphis,0.233,0.213,0.18,0.152,0.383,0.343,0.271,0.218,0.09,0.092,0.127,0.112
Miami,0.155,0.166,0.21,0.176,0.318,0.315,0.172,0.163,0.007,0.05,0.288,0.227
Miami (OH),0.03,0.051,0.162,0.161,0.076,0.127,0.234,0.212,0.007,0.035,0.107,0.13
Michigan,0.181,0.194,0.011,0.044,0.314,0.32,-0.041,0.04,0.109,0.121,0.096,0.106
Michigan State,0.156,0.17,0.136,0.115,0.325,0.317,0.196,0.177,0.045,0.075,0.081,0.072
Middle Tennessee,0.212,0.211,0.101,0.134,0.333,0.329,0.09,0.151,0.096,0.098,0.153,0.16
Minnesota,0.132,0.165,0.13,0.146,0.223,0.266,0.144,0.172,0.047,0.077,0.124,0.139
Mississippi State,0.227,0.253,0.122,0.101,0.305,0.328,0.167,0.151,0.142,0.16,0.106,0.094
Missouri,-0.036,0.032,0.05,0.062,-0.044,0.058,0.123,0.152,0.012,0.067,0.009,0.037
Navy,0.331,0.283,0.204,0.181,0.41,0.29,0.287,0.243,0.339,0.294,0.155,0.136
NC State,0.194,0.2,0.154,0.151,0.143,0.181,0.215,0.22,0.267,0.237,0.126,0.12
Nebraska,0.206,0.214,0.145,0.155,0.252,0.276,0.277,0.257,0.151,0.146,-0.008,0.057
Nevada,0.161,0.129,0.197,0.212,0.243,0.214,0.243,0.273,0.135,0.107,0.189,0.177
New Mexico,0.171,0.123,0.228,0.219,0.172,0.153,0.385,0.348,0.181,0.148,0.135,0.126
New Mexico State,0.135,0.111,0.301,0.303,0.061,0.057,0.364,0.354,0.25,0.212,0.278,0.247
North Carolina,0.335,0.308,0.201,0.181,0.367,0.325,0.131,0.145,0.344,0.291,0.272,0.228
Northern Illinois,0.136,0.135,0.094,0.106,0.186,0.204,0.178,0.187,0.128,0.118,0.063,0.084
North Texas,0.019,0.044,0.29,0.255,-0.094,-0.003,0.377,0.297,0.164,0.147,0.264,0.239
Northwestern,0.012,0.049,0.026,0.046,-0.018,0.07,-0.017,0.032,0.052,0.085,0.091,0.108
Notre Dame,0.301,0.309,0.148,0.138,0.39,0.372,0.188,0.2,0.26,0.253,0.172,0.134
Ohio,0.113,0.122,0.137,0.149,0.118,0.165,0.144,0.163,0.126,0.123,0.184,0.18
Ohio State,0.248,0.236,0.033,0.05,0.218,0.212,0.047,0.075,0.319,0.282,0.039,0.07
Oklahoma,0.291,0.27,0.078,0.063,0.415,0.376,0.068,0.08,0.2,0.178,0.108,0.091
Oklahoma State,0.24,0.226,0.169,0.139,0.411,0.363,0.18,0.167,0.074,0.091,0.204,0.164
Old Dominion,0.124,0.109,0.209,0.228,0.102,0.129,0.253,0.273,0.18,0.134,0.196,0.192
Ole Miss,0.277,0.282,0.069,0.068,0.387,0.388,0.178,0.161,0.2,0.179,-0.024,0.018
Oregon,0.268,0.266,0.208,0.173,0.316,0.299,0.226,0.179,0.303,0.27,0.243,0.219
Oregon State,0.083,0.117,0.286,0.22,0.03,0.115,0.404,0.308,0.145,0.135,0.249,0.195
Penn State,0.097,0.14,0.091,0.115,0.158,0.217,0.087,0.129,0.047,0.091,0.126,0.129
Pittsburgh,0.187,0.183,0.194,0.158,0.283,0.268,0.224,0.203,0.148,0.149,0.208,0.156
Purdue,0.069,0.113,0.228,0.209,0.035,0.122,0.337,0.283,0.167,0.167,0.191,0.193
Rice,0.149,0.136,0.38,0.327,0.259,0.234,0.62,0.475,0.076,0.084,0.219,0.187
Rutgers,0.149,0.162,0.262,0.242,0.21,0.235,0.447,0.378,0.129,0.138,0.139,0.137
San Diego State,0.216,0.164,0.041,0.078,0.337,0.272,0.053,0.117,0.184,0.139,0.051,0.081
San José State,0.193,0.172,0.161,0.18,0.251,0.235,0.144,0.196,0.184,0.157,0.201,0.185
SMU,0.141,0.143,0.331,0.275,0.136,0.158,0.452,0.357,0.148,0.149,0.306,0.245
South Alabama,0.07,0.074,0.249,0.236,0.118,0.132,0.319,0.292,0.044,0.07,0.229,0.187
South Carolina,0.122,0.171,0.243,0.222,0.171,0.234,0.248,0.258,0.093,0.12,0.285,0.221
Southern Mississippi,0.296,0.249,0.118,0.141,0.461,0.39,0.143,0.173,0.15,0.131,0.119,0.136
South Florida,0.221,0.199,0.119,0.116,0.274,0.247,0.169,0.168,0.211,0.188,0.085,0.094
Stanford,0.309,0.293,0.163,0.141,0.487,0.42,0.256,0.226,0.237,0.211,0.11,0.104
Syracuse,0.079,0.136,0.238,0.213,0.13,0.185,0.339,0.297,0.063,0.125,0.217,0.182
TCU,0.263,0.233,0.12,0.095,0.393,0.354,0.116,0.13,0.154,0.126,0.179,0.134
Temple,0.121,0.123,0.053,0.077,0.257,0.248,0.07,0.106,0.043,0.065,0.05,0.08
Tennessee,0.171,0.208,0.121,0.119,0.24,0.266,0.155,0.177,0.192,0.2,0.096,0.1
Texas,0.16,0.15,0.18,0.135,0.083,0.118,0.216,0.178,0.225,0.192,0.173,0.139
Texas A&M,0.109,0.134,0.106,0.088,0.112,0.154,0.075,0.084,0.138,0.142,0.185,0.159
Texas State,0.093,0.091,0.354,0.322,0.052,0.088,0.54,0.449,0.142,0.137,0.264,0.22
Texas Tech,0.309,0.293,0.369,0.311,0.311,0.303,0.448,0.372,0.372,0.3,0.329,0.264
Toledo,0.25,0.217,0.053,0.075,0.402,0.328,0.12,0.131,0.156,0.148,0.022,0.068
Troy,0.106,0.107,0.175,0.183,0.231,0.218,0.252,0.264,0.018,0.061,0.144,0.13
Tulane,0.012,0.024,0.244,0.229,0.073,0.084,0.421,0.357,0.003,0.047,0.153,0.142
Tulsa,0.25,0.219,0.25,0.25,0.344,0.302,0.347,0.325,0.198,0.175,0.189,0.186
UCF,-0.015,0.014,0.293,0.261,0.063,0.098,0.482,0.386,-0.084,-0.009,0.163,0.158
UCLA,0.224,0.206,0.112,0.095,0.3,0.266,0.077,0.092,0.223,0.195,0.186,0.167
UMass,0.106,0.108,0.186,0.188,0.082,0.124,0.337,0.301,0.18,0.138,0.082,0.113
UNLV,0.095,0.106,0.257,0.254,0.152,0.187,0.272,0.276,0.066,0.069,0.268,0.231
USC,0.245,0.235,0.126,0.097,0.349,0.325,0.241,0.209,0.2,0.176,0.063,0.057
Utah,0.14,0.145,0.065,0.063,0.183,0.202,0.119,0.128,0.118,0.11,0.053,0.063
Utah State,0.151,0.155,0.135,0.153,0.19,0.203,0.241,0.249,0.143,0.14,0.091,0.104
UTEP,0.026,0.016,0.254,0.229,0.076,0.095,0.407,0.355,0.043,0.039,0.173,0.148
UT San Antonio,0.077,0.055,0.183,0.193,0.09,0.092,0.249,0.259,0.089,0.075,0.158,0.161
Vanderbilt,-0.03,0.042,0.067,0.059,-0.078,0.039,0.147,0.139,0.032,0.082,0.037,0.055
Virginia,0.138,0.147,0.217,0.184,0.24,0.246,0.357,0.306,0.077,0.088,0.141,0.118
Virginia Tech,0.11,0.122,0.173,0.158,0.215,0.218,0.266,0.247,0.068,0.089,0.138,0.121
Wake Forest,-0.014,0.034,0.176,0.149,-0.039,0.035,0.38,0.305,0.034,0.081,0.054,0.06
Washington,0.159,0.165,0.078,0.051,0.248,0.241,0.166,0.141,0.122,0.129,0.052,0.053
Washington State,0.206,0.183,0.157,0.128,0.245,0.228,0.217,0.185,0.17,0.136,0.143,0.122
Western Kentucky,0.335,0.302,0.188,0.194,0.517,0.468,0.252,0.256,0.142,0.124,0.143,0.145
Western Michigan,0.305,0.272,0.23,0.202,0.384,0.346,0.312,0.274,0.274,0.222,0.188,0.156
West Virginia,0.168,0.159,0.074,0.061,0.142,0.158,0.097,0.113,0.211,0.184,0.079,0.06
Wisconsin,0.127,0.146,0.024,0.071,0.24,0.252,0.061,0.129,0.047,0.084,-0.012,0.044
Wyoming,0.144,0.13,0.301,0.271,0.161,0.175,0.483,0.387,0.152,0.127,0.216,0.186
