id,season,week,season_type,start_date,start_time_tbd,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_points,home_line_scores,home_post_win_prob,away_id,away_team,away_conference,away_points,away_line_scores,away_post_win_prob,excitement_index,highlights,notes
401110726,2019,1,regular,2019-08-31T16:00:00.000Z,,False,False,44107.0,3805,Liberty Bowl Memorial Stadium,235,Memphis,American Athletic,15,"[7, 6, 0, 2]",0.9225375975622911,145,Ole Miss,SEC,10,"[0, 0, 3, 7]",0.07746240243770885,5.0956587043,https://www.youtube.com/watch?v=yQbjA_IX3io,
401112157,2019,1,regular,2019-08-31T16:00:00.000Z,,True,False,21437.0,3812,Lucas Oil Stadium,2050,Ball State,Mid-American,24,"[3, 7, 7, 7]",0.052332403827212784,84,Indiana,Big Ten,34,"[10, 6, 7, 11]",0.9476675961727872,3.5717794139,,
401112145,2019,1,regular,2019-08-31T16:00:00.000Z,,False,False,30654.0,3832,Memorial Stadium,356,Illinois,Big Ten,42,"[14, 14, 14, 0]",0.999985624546836,2006,Akron,Mid-American,3,"[3, 0, 0, 0]",1.4375453163961716e-05,0.5276152521,https://www.youtube.com/watch?v=Kl7PArb7sNs,
401112238,2019,1,regular,2019-08-31T16:00:00.000Z,,False,False,89502.0,3834,Memorial Stadium,158,Nebraska,Big Ten,35,"[7, 7, 14, 7]",0.9037885855802149,6,South Alabama,Sun Belt,21,"[7, 0, 14, 0]",0.09621141441978509,0.772485991899999,https://www.youtube.com/watch?v=LnhY4vAXjiI,
401112251,2019,1,regular,2019-08-31T16:00:00.000Z,,False,False,103228.0,3861,Ohio Stadium,194,Ohio State,Big Ten,45,"[28, 0, 7, 10]",0.9992489626414983,2226,Florida Atlantic,Conference USA,21,"[0, 3, 3, 15]",0.0007510373585016827,0.1900220523,https://www.youtube.com/watch?v=LXmySwb5080,
401112432,2019,1,regular,2019-08-31T16:00:00.000Z,,False,False,57633.0,3670,Carter-Finley Stadium,152,NC State,ACC,34,"[7, 10, 7, 10]",0.9999604069681605,151,East Carolina,American Athletic,6,"[3, 0, 0, 3]",3.959303183953544e-05,1.71210547749999,https://www.youtube.com/watch?v=Sh7DT9PfyM8,
401110724,2019,1,regular,2019-08-31T16:00:00.000Z,,False,False,54610.0,3683,Commonwealth Stadium,96,Kentucky,SEC,38,"[0, 14, 10, 14]",0.9805204242555655,2649,Toledo,Mid-American,24,"[7, 7, 3, 7]",0.019479575744434485,5.084117394,https://www.youtube.com/watch?v=WyJPGht2LfM,
401110720,2019,1,regular,2019-08-31T19:30:00.000Z,,True,False,71916.0,5348,Mercedes-Benz Stadium,333,Alabama,SEC,42,"[0, 14, 21, 7]",0.999990884676356,150,Duke,ACC,3,"[0, 3, 0, 0]",9.11532364400447e-06,0.4601882762,https://www.youtube.com/watch?v=fK1UnQg95kI,
401119256,2019,1,regular,2019-08-31T19:30:00.000Z,,False,False,14237.0,3654,Brooks Stadium,324,Coastal Carolina,Sun Belt,23,"[10, 3, 0, 10]",0.11946296522368414,2199,Eastern Michigan,Mid-American,30,"[0, 7, 16, 7]",0.8805370347763158,5.16261689369999,,
401110729,2019,1,regular,2019-08-31T19:30:00.000Z,,True,False,52183.0,3628,Bank of America Stadium,153,North Carolina,ACC,24,"[3, 3, 3, 15]",0.9751738724975034,2579,South Carolina,SEC,20,"[10, 3, 7, 0]",0.024826127502496576,5.6522943457,https://www.youtube.com/watch?v=2o-5QGRy_R0,
401110730,2019,1,regular,2019-08-31T19:30:00.000Z,,False,False,85503.0,3853,Neyland Stadium,2633,Tennessee,SEC,30,"[14, 3, 3, 10]",0.2713042563438635,2247,Georgia State,Sun Belt,38,"[7, 7, 7, 17]",0.7286957436561365,4.9993861006,https://www.youtube.com/watch?v=OSwuWNJJYB4,
401112435,2019,1,regular,2019-08-31T20:00:00.000Z,,False,True,35213.0,3615,Alumni Stadium,103,Boston College,ACC,35,"[7, 21, 0, 7]",0.9939153058646774,259,Virginia Tech,ACC,28,"[7, 7, 7, 7]",0.006084694135322644,6.4579152991,https://www.youtube.com/watch?v=OeF24HMVPKI,
401112245,2019,1,regular,2019-08-31T20:00:00.000Z,,False,False,37179.0,3940,Stanford Stadium,24,Stanford,Pac-12,17,"[0, 10, 0, 7]",0.8936946934265202,77,Northwestern,Big Ten,7,"[0, 0, 0, 7]",0.10630530657347981,5.2906002402,https://www.youtube.com/watch?v=QQCMtx77hQs,
401112434,2019,1,regular,2019-08-31T22:00:00.000Z,,False,False,21671.0,3992,Williams Stadium,2335,Liberty,FBS Independents,0,"[0, 0, 0, 0]",0.007136060214749594,183,Syracuse,ACC,24,"[3, 7, 7, 7]",0.9928639397852504,2.1616408805,https://www.youtube.com/watch?v=tXL0djZXLuY,
401117858,2019,1,regular,2019-08-31T23:00:00.000Z,,False,False,22076.0,3625,Centennial Bank Stadium,2032,Arkansas State,Sun Belt,30,"[7, 2, 14, 7]",0.15277028684321564,2567,SMU,American Athletic,37,"[3, 13, 14, 7]",0.8472297131567843,8.0271848104,https://www.youtube.com/watch?v=fxI5FRv-AJ0,
